NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5FD8,PI040298AD5I210868,2018-08-25 09:21:21,-1.0,21.36,6.83,33.74
Flower power 5FD8,PI040298AD5I210868,2018-08-25 09:36:18,-1.0,44.81,6.59,36.23
Flower power 5FD8,PI040298AD5I210868,2018-08-25 09:51:18,-1.0,101.75,6.71,42.21
Flower power 5FD8,PI040298AD5I210868,2018-08-25 10:06:18,-1.0,59.19,6.96,45.38
Flower power 5FD8,PI040298AD5I210868,2018-08-25 10:21:18,-1.0,56.61,7.08,41.07
Flower power 5FD8,PI040298AD5I210868,2018-08-25 10:36:18,-1.0,31.55,6.96,39.51
Flower power 5FD8,PI040298AD5I210868,2018-08-25 10:51:18,-1.0,42.81,6.96,37.06
Flower power 5FD8,PI040298AD5I210868,2018-08-25 11:06:18,-1.0,25.88,7.2,38.18
Flower power 5FD8,PI040298AD5I210868,2018-08-25 11:21:18,-1.0,26.88,7.2,37.15
Flower power 5FD8,PI040298AD5I210868,2018-08-25 11:36:18,-1.0,150.71,7.2,41.86
Flower power 5FD8,PI040298AD5I210868,2018-08-25 11:51:18,-1.0,24.15,7.57,38.18
Flower power 5FD8,PI040298AD5I210868,2018-08-25 12:06:18,-1.0,32.74,7.57,38.7
Flower power 5FD8,PI040298AD5I210868,2018-08-25 12:21:18,-1.0,59.49,7.45,40.77
Flower power 5FD8,PI040298AD5I210868,2018-08-25 12:36:18,-1.0,27.21,7.2,38.55
Flower power 5FD8,PI040298AD5I210868,2018-08-25 12:51:18,-1.0,76.44,7.32,41.07
Flower power 5FD8,PI040298AD5I210868,2018-08-25 13:06:18,-1.0,47.77,7.2,38.93
Flower power 5FD8,PI040298AD5I210868,2018-08-25 13:21:18,-1.0,158.43,7.2,47.41
Flower power 5FD8,PI040298AD5I210868,2018-08-25 13:36:18,-1.0,156.43,7.7,48.49
Flower power 5FD8,PI040298AD5I210868,2018-08-25 13:51:18,-1.0,152.57,7.7,48.49
Flower power 5FD8,PI040298AD5I210868,2018-08-25 14:06:18,-1.0,150.71,7.57,49.59
Flower power 5FD8,PI040298AD5I210868,2018-08-25 14:21:18,-1.0,147.12,7.45,48.89
Flower power 5FD8,PI040298AD5I210868,2018-08-25 14:36:18,-1.0,140.42,7.82,47.92
Flower power 5FD8,PI040298AD5I210868,2018-08-25 14:51:18,-1.0,134.29,7.57,47.08
Flower power 5FD8,PI040298AD5I210868,2018-08-25 15:06:18,-1.0,127.31,7.7,47.69
Flower power 5FD8,PI040298AD5I210868,2018-08-25 15:21:18,-1.0,119.83,7.45,45.6
Flower power 5FD8,PI040298AD5I210868,2018-08-25 15:36:18,-1.0,112.1,7.82,45.65
Flower power 5FD8,PI040298AD5I210868,2018-08-25 15:51:18,-1.0,100.9,7.82,44.96
Flower power 5FD8,PI040298AD5I210868,2018-08-25 16:06:18,-1.0,90.99,8.07,43.49
Flower power 5FD8,PI040298AD5I210868,2018-08-25 16:21:18,-1.0,82.24,7.94,43.54
Flower power 5FD8,PI040298AD5I210868,2018-08-25 16:36:18,-1.0,74.52,7.94,42.77
Flower power 5FD8,PI040298AD5I210868,2018-08-25 16:51:18,-1.0,67.32,8.07,40.87
Flower power 5FD8,PI040298AD5I210868,2018-08-25 17:06:18,-1.0,58.89,7.94,40.77
