NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 5FFA,PI040298AD5I214030,2018-08-21 16:02:44,-1.0,16.72,10.79,35.0
Flower power 5FFA,PI040298AD5I214030,2018-08-21 16:17:44,-1.0,13.95,10.79,34.23
Flower power 5FFA,PI040298AD5I214030,2018-08-21 16:32:44,-1.0,12.71,11.05,33.51
Flower power 5FFA,PI040298AD5I214030,2018-08-21 16:47:44,-1.0,11.92,11.18,32.84
Flower power 5FFA,PI040298AD5I214030,2018-08-21 17:02:44,-1.0,11.24,11.18,31.65
Flower power 5FFA,PI040298AD5I214030,2018-08-21 17:17:44,-1.0,10.69,10.92,31.2
Flower power 5FFA,PI040298AD5I214030,2018-08-21 17:32:44,-1.0,8.74,11.31,30.01
Flower power 5FFA,PI040298AD5I214030,2018-08-21 17:47:44,-1.0,7.65,10.79,29.3
Flower power 5FFA,PI040298AD5I214030,2018-08-21 18:02:44,-1.0,6.46,10.79,28.42
Flower power 5FFA,PI040298AD5I214030,2018-08-21 18:17:44,-1.0,5.14,11.05,27.09
Flower power 5FFA,PI040298AD5I214030,2018-08-21 18:32:44,-1.0,3.91,11.44,26.33
Flower power 5FFA,PI040298AD5I214030,2018-08-21 18:47:44,-1.0,2.57,10.79,25.83
Flower power 5FFA,PI040298AD5I214030,2018-08-21 19:02:44,-1.0,1.28,11.18,24.98
Flower power 5FFA,PI040298AD5I214030,2018-08-21 19:17:44,-1.0,0.36,11.18,23.83
Flower power 5FFA,PI040298AD5I214030,2018-08-21 19:32:44,-1.0,0.1,11.18,23.28
Flower power 5FFA,PI040298AD5I214030,2018-08-21 19:47:44,-1.0,0.1,11.18,22.82
Flower power 5FFA,PI040298AD5I214030,2018-08-21 20:02:44,-1.0,0.1,11.31,22.54
Flower power 5FFA,PI040298AD5I214030,2018-08-21 20:17:44,-1.0,0.1,11.57,21.83
Flower power 5FFA,PI040298AD5I214030,2018-08-21 20:32:44,-1.0,0.1,10.79,21.69
Flower power 5FFA,PI040298AD5I214030,2018-08-21 20:47:44,-1.0,0.1,11.05,21.36
Flower power 5FFA,PI040298AD5I214030,2018-08-21 21:02:44,-1.0,0.1,11.18,21.36
Flower power 5FFA,PI040298AD5I214030,2018-08-21 21:17:44,-1.0,0.1,11.31,21.6
Flower power 5FFA,PI040298AD5I214030,2018-08-21 21:32:44,-1.0,0.1,11.44,21.45
Flower power 5FFA,PI040298AD5I214030,2018-08-21 21:47:44,-1.0,0.1,11.18,21.6
Flower power 5FFA,PI040298AD5I214030,2018-08-21 22:02:44,-1.0,0.1,10.92,21.69
Flower power 5FFA,PI040298AD5I214030,2018-08-21 22:17:44,-1.0,0.1,10.79,21.55
Flower power 5FFA,PI040298AD5I214030,2018-08-21 22:32:44,-1.0,0.1,11.18,21.6
Flower power 5FFA,PI040298AD5I214030,2018-08-21 22:47:44,-1.0,0.1,11.18,21.45
Flower power 5FFA,PI040298AD5I214030,2018-08-21 23:02:44,-1.0,0.1,11.18,20.88
Flower power 5FFA,PI040298AD5I214030,2018-08-21 23:17:44,-1.0,0.1,11.18,20.88
Flower power 5FFA,PI040298AD5I214030,2018-08-21 23:32:44,-1.0,0.1,11.05,20.69
Flower power 5FFA,PI040298AD5I214030,2018-08-21 23:47:44,-1.0,0.1,10.92,20.21
Flower power 5FFA,PI040298AD5I214030,2018-08-22 00:02:44,-1.0,0.1,10.92,19.33
Flower power 5FFA,PI040298AD5I214030,2018-08-22 00:17:44,-1.0,0.1,11.18,19.82
Flower power 5FFA,PI040298AD5I214030,2018-08-22 00:32:44,-1.0,0.1,10.92,20.4
Flower power 5FFA,PI040298AD5I214030,2018-08-22 00:47:44,-1.0,0.1,11.05,20.16
Flower power 5FFA,PI040298AD5I214030,2018-08-22 01:02:44,-1.0,0.1,11.18,18.98
Flower power 5FFA,PI040298AD5I214030,2018-08-22 01:17:44,-1.0,0.1,11.05,17.32
Flower power 5FFA,PI040298AD5I214030,2018-08-22 01:32:44,-1.0,0.1,11.18,17.07
Flower power 5FFA,PI040298AD5I214030,2018-08-22 01:47:44,-1.0,0.1,11.18,16.86
Flower power 5FFA,PI040298AD5I214030,2018-08-22 02:02:44,-1.0,0.1,10.79,16.71
Flower power 5FFA,PI040298AD5I214030,2018-08-22 02:17:44,-1.0,0.1,11.44,16.24
Flower power 5FFA,PI040298AD5I214030,2018-08-22 02:32:44,-1.0,0.1,11.18,15.87
Flower power 5FFA,PI040298AD5I214030,2018-08-22 02:47:44,-1.0,0.1,11.18,15.77
Flower power 5FFA,PI040298AD5I214030,2018-08-22 03:02:44,-1.0,0.1,10.79,15.72
Flower power 5FFA,PI040298AD5I214030,2018-08-22 03:17:44,-1.0,0.1,11.18,15.56
Flower power 5FFA,PI040298AD5I214030,2018-08-22 03:32:44,-1.0,0.1,10.92,15.66
Flower power 5FFA,PI040298AD5I214030,2018-08-22 03:47:44,-1.0,0.1,11.18,15.29
Flower power 5FFA,PI040298AD5I214030,2018-08-22 04:02:44,-1.0,0.1,11.44,15.08
Flower power 5FFA,PI040298AD5I214030,2018-08-22 04:17:44,-1.0,0.1,10.92,14.87
Flower power 5FFA,PI040298AD5I214030,2018-08-22 04:32:44,-1.0,0.1,11.31,14.92
Flower power 5FFA,PI040298AD5I214030,2018-08-22 04:47:44,-1.0,0.1,11.31,14.81
