NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 61DB,PI040298AD5I213128,2018-08-21 11:54:13,-1.0,159.23,6.1,51.08
Flower power 61DB,PI040298AD5I213128,2018-08-21 12:09:13,-1.0,161.42,6.59,52.11
Flower power 61DB,PI040298AD5I213128,2018-08-21 12:24:13,-1.0,161.42,6.72,51.08
Flower power 61DB,PI040298AD5I213128,2018-08-21 12:39:13,-1.0,163.67,6.59,52.74
Flower power 61DB,PI040298AD5I213128,2018-08-21 12:54:13,-1.0,163.67,7.09,53.24
Flower power 61DB,PI040298AD5I213128,2018-08-21 13:09:13,-1.0,161.42,6.97,52.99
Flower power 61DB,PI040298AD5I213128,2018-08-21 13:24:13,-1.0,161.42,6.84,52.42
Flower power 61DB,PI040298AD5I213128,2018-08-21 13:39:13,-1.0,159.23,7.22,53.37
Flower power 61DB,PI040298AD5I213128,2018-08-21 13:54:13,-1.0,152.98,7.34,53.62
Flower power 61DB,PI040298AD5I213128,2018-08-21 14:09:13,-1.0,133.65,7.09,51.68
Flower power 61DB,PI040298AD5I213128,2018-08-21 14:24:13,-1.0,102.64,6.97,50.89
Flower power 61DB,PI040298AD5I213128,2018-08-21 14:39:13,-1.0,115.01,7.09,50.41
Flower power 61DB,PI040298AD5I213128,2018-08-21 14:54:13,-1.0,106.46,7.34,50.06
Flower power 61DB,PI040298AD5I213128,2018-08-21 15:09:13,-1.0,88.99,7.09,47.52
Flower power 61DB,PI040298AD5I213128,2018-08-21 15:24:13,-1.0,105.48,7.34,46.36
Flower power 61DB,PI040298AD5I213128,2018-08-21 15:39:13,-1.0,106.46,7.34,45.49
Flower power 61DB,PI040298AD5I213128,2018-08-21 15:54:13,-1.0,69.68,7.22,45.49
Flower power 61DB,PI040298AD5I213128,2018-08-21 16:09:13,-1.0,80.72,7.34,47.13
Flower power 61DB,PI040298AD5I213128,2018-08-21 16:24:13,-1.0,83.1,7.72,46.41
Flower power 61DB,PI040298AD5I213128,2018-08-21 16:39:13,-1.0,75.82,7.34,44.43
Flower power 61DB,PI040298AD5I213128,2018-08-21 16:54:13,-1.0,63.34,7.34,42.92
Flower power 61DB,PI040298AD5I213128,2018-08-21 17:09:13,-1.0,58.03,7.22,41.86
Flower power 61DB,PI040298AD5I213128,2018-08-21 17:24:13,-1.0,54.59,7.22,38.98
Flower power 61DB,PI040298AD5I213128,2018-08-21 17:39:13,-1.0,40.13,7.72,36.18
Flower power 61DB,PI040298AD5I213128,2018-08-21 17:54:13,-1.0,20.86,7.34,34.05
Flower power 61DB,PI040298AD5I213128,2018-08-21 18:09:13,-1.0,14.37,7.47,31.65
Flower power 61DB,PI040298AD5I213128,2018-08-21 18:24:13,-1.0,9.47,7.6,29.35
Flower power 61DB,PI040298AD5I213128,2018-08-21 18:39:13,-1.0,6.65,7.47,28.15
Flower power 61DB,PI040298AD5I213128,2018-08-21 18:54:13,-1.0,3.82,7.47,26.86
Flower power 61DB,PI040298AD5I213128,2018-08-21 19:09:13,-1.0,1.46,7.72,25.52
Flower power 61DB,PI040298AD5I213128,2018-08-21 19:24:13,-1.0,0.27,7.72,24.2
Flower power 61DB,PI040298AD5I213128,2018-08-21 19:39:13,-1.0,0.1,7.72,23.88
Flower power 61DB,PI040298AD5I213128,2018-08-21 19:54:13,-1.0,0.1,7.22,23.56
Flower power 61DB,PI040298AD5I213128,2018-08-21 20:09:13,-1.0,0.1,7.6,22.96
Flower power 61DB,PI040298AD5I213128,2018-08-21 20:24:13,-1.0,0.1,7.6,22.54
Flower power 61DB,PI040298AD5I213128,2018-08-21 20:39:13,-1.0,0.1,7.6,22.16
Flower power 61DB,PI040298AD5I213128,2018-08-21 20:54:13,-1.0,0.1,7.6,21.88
Flower power 61DB,PI040298AD5I213128,2018-08-21 21:09:13,-1.0,0.1,7.72,21.41
Flower power 61DB,PI040298AD5I213128,2018-08-21 21:24:13,-1.0,0.1,7.6,21.83
Flower power 61DB,PI040298AD5I213128,2018-08-21 21:39:13,-1.0,0.1,7.6,21.74
Flower power 61DB,PI040298AD5I213128,2018-08-21 21:54:13,-1.0,0.1,7.34,21.97
Flower power 61DB,PI040298AD5I213128,2018-08-21 22:09:13,-1.0,0.1,7.72,21.79
Flower power 61DB,PI040298AD5I213128,2018-08-21 22:24:13,-1.0,0.1,7.6,21.74
Flower power 61DB,PI040298AD5I213128,2018-08-21 22:39:13,-1.0,0.1,7.47,21.97
Flower power 61DB,PI040298AD5I213128,2018-08-21 22:54:13,-1.0,0.1,7.47,21.36
Flower power 61DB,PI040298AD5I213128,2018-08-21 23:09:13,-1.0,0.1,7.6,21.22
Flower power 61DB,PI040298AD5I213128,2018-08-21 23:24:13,-1.0,0.1,7.6,20.93
Flower power 61DB,PI040298AD5I213128,2018-08-21 23:39:13,-1.0,0.1,7.6,20.64
Flower power 61DB,PI040298AD5I213128,2018-08-21 23:54:13,-1.0,0.1,7.47,20.3
Flower power 61DB,PI040298AD5I213128,2018-08-22 00:09:13,-1.0,0.1,7.22,20.11
Flower power 61DB,PI040298AD5I213128,2018-08-22 00:24:13,-1.0,0.1,7.72,20.69
Flower power 61DB,PI040298AD5I213128,2018-08-22 00:39:13,-1.0,0.1,7.72,20.79
Flower power 61DB,PI040298AD5I213128,2018-08-22 00:54:13,-1.0,0.1,7.6,20.16
Flower power 61DB,PI040298AD5I213128,2018-08-22 01:09:13,-1.0,0.1,7.6,18.19
Flower power 61DB,PI040298AD5I213128,2018-08-22 01:24:13,-1.0,0.1,7.47,17.32
Flower power 61DB,PI040298AD5I213128,2018-08-22 01:39:13,-1.0,0.1,7.6,17.02
Flower power 61DB,PI040298AD5I213128,2018-08-22 01:54:13,-1.0,0.1,7.34,16.71
Flower power 61DB,PI040298AD5I213128,2018-08-22 02:09:13,-1.0,0.1,7.6,16.6
Flower power 61DB,PI040298AD5I213128,2018-08-22 02:24:13,-1.0,0.1,7.6,16.14
Flower power 61DB,PI040298AD5I213128,2018-08-22 02:39:13,-1.0,0.1,7.47,15.93
Flower power 61DB,PI040298AD5I213128,2018-08-22 02:54:13,-1.0,0.1,7.72,15.72
Flower power 61DB,PI040298AD5I213128,2018-08-22 03:09:13,-1.0,0.1,7.72,15.66
Flower power 61DB,PI040298AD5I213128,2018-08-22 03:24:13,-1.0,0.1,7.6,15.5
Flower power 61DB,PI040298AD5I213128,2018-08-22 03:39:13,-1.0,0.1,7.6,15.45
Flower power 61DB,PI040298AD5I213128,2018-08-22 03:54:13,-1.0,0.1,7.34,15.13
Flower power 61DB,PI040298AD5I213128,2018-08-22 04:09:13,-1.0,0.1,7.6,14.92
Flower power 61DB,PI040298AD5I213128,2018-08-22 04:24:13,-1.0,0.1,7.22,14.81
Flower power 61DB,PI040298AD5I213128,2018-08-22 04:39:13,-1.0,0.1,7.47,14.92
Flower power 61DB,PI040298AD5I213128,2018-08-22 04:54:13,-1.0,0.1,7.47,14.87
Flower power 61DB,PI040298AD5I213128,2018-08-22 05:09:13,-1.0,0.1,7.47,15.35
Flower power 61DB,PI040298AD5I213128,2018-08-22 05:24:13,-1.0,0.1,7.47,16.03
Flower power 61DB,PI040298AD5I213128,2018-08-22 05:39:13,-1.0,0.1,7.6,15.82
Flower power 61DB,PI040298AD5I213128,2018-08-22 05:54:13,-1.0,0.41,6.97,15.82
Flower power 61DB,PI040298AD5I213128,2018-08-22 06:09:13,-1.0,1.85,7.34,17.58
Flower power 61DB,PI040298AD5I213128,2018-08-22 06:24:13,-1.0,4.4,7.22,18.03
Flower power 61DB,PI040298AD5I213128,2018-08-22 06:39:13,-1.0,7.5,7.47,18.44
Flower power 61DB,PI040298AD5I213128,2018-08-22 06:54:13,-1.0,10.53,7.47,20.3
Flower power 61DB,PI040298AD5I213128,2018-08-22 07:09:13,-1.0,13.32,7.34,21.79
