NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 630F,PI040298AD5I213008,2018-08-26 10:11:26,-1.0,126.91,8.34,54.52
Flower power 630F,PI040298AD5I213008,2018-08-26 10:26:26,-1.0,122.79,7.97,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 10:41:26,-1.0,156.43,8.72,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 10:56:26,-1.0,142.8,8.22,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 11:11:26,-1.0,142.8,8.84,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 11:26:26,-1.0,148.34,8.84,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 11:41:26,-1.0,150.29,8.84,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 11:56:26,-1.0,152.28,8.84,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 12:11:26,-1.0,154.33,8.97,55.0
Flower power 630F,PI040298AD5I213008,2018-08-26 12:26:26,-1.0,154.33,9.22,52.55
Flower power 630F,PI040298AD5I213008,2018-08-26 12:41:26,-1.0,154.33,8.84,52.86
Flower power 630F,PI040298AD5I213008,2018-08-26 12:56:26,-1.0,154.33,9.35,51.44
Flower power 630F,PI040298AD5I213008,2018-08-26 13:11:26,-1.0,152.28,9.1,50.89
Flower power 630F,PI040298AD5I213008,2018-08-26 13:26:26,-1.0,150.29,9.1,49.41
Flower power 630F,PI040298AD5I213008,2018-08-26 13:41:26,-1.0,141.04,8.97,47.02
Flower power 630F,PI040298AD5I213008,2018-08-26 13:56:26,-1.0,73.49,9.35,43.08
Flower power 630F,PI040298AD5I213008,2018-08-26 14:11:26,-1.0,87.42,9.35,42.67
Flower power 630F,PI040298AD5I213008,2018-08-26 14:26:26,-1.0,94.06,9.22,44.69
Flower power 630F,PI040298AD5I213008,2018-08-26 14:41:26,-1.0,126.91,9.48,45.01
Flower power 630F,PI040298AD5I213008,2018-08-26 14:56:26,-1.0,63.68,9.1,43.96
Flower power 630F,PI040298AD5I213008,2018-08-26 15:11:26,-1.0,73.01,8.97,43.49
Flower power 630F,PI040298AD5I213008,2018-08-26 15:26:20,-1.0,88.82,9.22,42.16
Flower power 630F,PI040298AD5I213008,2018-08-26 15:41:20,-1.0,35.47,9.22,37.89
Flower power 630F,PI040298AD5I213008,2018-08-26 15:56:20,-1.0,10.36,9.22,32.8
Flower power 630F,PI040298AD5I213008,2018-08-26 16:11:20,-1.0,9.42,9.35,31.16
Flower power 630F,PI040298AD5I213008,2018-08-26 16:26:20,-1.0,8.8,9.48,30.28
Flower power 630F,PI040298AD5I213008,2018-08-26 16:41:20,-1.0,8.37,8.97,29.61
Flower power 630F,PI040298AD5I213008,2018-08-26 16:56:20,-1.0,7.92,9.1,28.86
Flower power 630F,PI040298AD5I213008,2018-08-26 17:11:20,-1.0,7.42,8.72,28.29
Flower power 630F,PI040298AD5I213008,2018-08-26 17:26:20,-1.0,6.89,8.72,27.84
Flower power 630F,PI040298AD5I213008,2018-08-26 17:41:20,-1.0,6.32,8.84,27.4
Flower power 630F,PI040298AD5I213008,2018-08-26 17:56:20,-1.0,5.74,9.22,26.82
