NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 632D,PI040298AD5I213126,2018-08-25 10:08:41,-1.0,110.8,5.41,52.99
Flower power 632D,PI040298AD5I213126,2018-08-25 10:23:41,-1.0,131.11,5.53,54.98
Flower power 632D,PI040298AD5I213126,2018-08-25 10:38:41,-1.0,139.03,5.65,54.92
Flower power 632D,PI040298AD5I213126,2018-08-25 10:53:40,-1.0,144.24,5.9,54.98
Flower power 632D,PI040298AD5I213126,2018-08-25 11:08:40,-1.0,149.84,5.53,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 11:23:40,-1.0,155.88,6.02,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 11:38:40,-1.0,160.18,5.65,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 11:53:40,-1.0,162.42,6.02,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 12:08:40,-1.0,164.72,5.78,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 12:23:40,-1.0,167.08,6.14,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 12:38:40,-1.0,169.51,5.9,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 12:53:40,-1.0,162.42,6.14,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 13:08:40,-1.0,162.42,6.02,55.0
Flower power 632D,PI040298AD5I213126,2018-08-25 13:23:40,-1.0,167.08,6.26,53.24
Flower power 632D,PI040298AD5I213126,2018-08-25 13:38:40,-1.0,164.72,5.9,52.8
Flower power 632D,PI040298AD5I213126,2018-08-25 13:53:40,-1.0,162.42,6.02,52.67
Flower power 632D,PI040298AD5I213126,2018-08-25 14:08:40,-1.0,160.18,6.26,52.67
Flower power 632D,PI040298AD5I213126,2018-08-25 14:23:40,-1.0,153.82,6.26,52.36
Flower power 632D,PI040298AD5I213126,2018-08-25 14:38:40,-1.0,149.84,6.02,50.24
Flower power 632D,PI040298AD5I213126,2018-08-25 14:53:40,-1.0,142.46,6.26,49.3
Flower power 632D,PI040298AD5I213126,2018-08-25 15:08:40,-1.0,135.75,6.14,49.35
Flower power 632D,PI040298AD5I213126,2018-08-25 15:23:40,-1.0,126.77,6.26,47.58
Flower power 632D,PI040298AD5I213126,2018-08-25 15:38:40,-1.0,117.65,6.51,47.13
Flower power 632D,PI040298AD5I213126,2018-08-25 15:53:40,-1.0,76.27,6.26,45.87
Flower power 632D,PI040298AD5I213126,2018-08-25 16:08:40,-1.0,84.96,6.39,44.53
Flower power 632D,PI040298AD5I213126,2018-08-25 16:23:40,-1.0,90.43,6.14,44.22
Flower power 632D,PI040298AD5I213126,2018-08-25 16:38:40,-1.0,69.58,6.39,41.71
Flower power 632D,PI040298AD5I213126,2018-08-25 16:53:40,-1.0,24.11,6.39,39.6
Flower power 632D,PI040298AD5I213126,2018-08-25 17:08:40,-1.0,50.89,6.26,37.71
Flower power 632D,PI040298AD5I213126,2018-08-25 17:23:40,-1.0,39.97,6.39,37.15
Flower power 632D,PI040298AD5I213126,2018-08-25 17:38:40,-1.0,38.13,6.39,35.31
Flower power 632D,PI040298AD5I213126,2018-08-25 17:53:40,-1.0,15.3,6.39,30.63
Flower power 632D,PI040298AD5I213126,2018-08-25 18:08:40,-1.0,11.47,6.51,28.6
Flower power 632D,PI040298AD5I213126,2018-08-25 18:23:40,-1.0,8.4,6.39,26.01
Flower power 632D,PI040298AD5I213126,2018-08-25 18:38:40,-1.0,5.8,6.14,24.75
Flower power 632D,PI040298AD5I213126,2018-08-25 18:53:40,-1.0,3.1,6.26,23.56
Flower power 632D,PI040298AD5I213126,2018-08-25 19:08:40,-1.0,1.0,6.26,22.58
Flower power 632D,PI040298AD5I213126,2018-08-25 19:23:40,-1.0,0.13,6.26,21.31
Flower power 632D,PI040298AD5I213126,2018-08-25 19:38:40,-1.0,0.1,6.39,21.26
Flower power 632D,PI040298AD5I213126,2018-08-25 19:53:40,-1.0,0.1,6.51,21.5
Flower power 632D,PI040298AD5I213126,2018-08-25 20:08:40,-1.0,0.1,6.02,20.88
Flower power 632D,PI040298AD5I213126,2018-08-25 20:23:40,-1.0,0.1,6.39,20.93
Flower power 632D,PI040298AD5I213126,2018-08-25 20:38:40,-1.0,0.1,6.26,20.74
Flower power 632D,PI040298AD5I213126,2018-08-25 20:53:40,-1.0,0.1,6.26,20.26
Flower power 632D,PI040298AD5I213126,2018-08-25 21:08:40,-1.0,0.1,6.39,19.23
Flower power 632D,PI040298AD5I213126,2018-08-25 21:23:40,-1.0,0.1,6.14,19.43
Flower power 632D,PI040298AD5I213126,2018-08-25 21:38:40,-1.0,0.1,6.39,19.72
Flower power 632D,PI040298AD5I213126,2018-08-25 21:53:40,-1.0,0.1,6.02,19.82
Flower power 632D,PI040298AD5I213126,2018-08-25 22:08:40,-1.0,0.1,5.9,19.67
Flower power 632D,PI040298AD5I213126,2018-08-25 22:23:40,-1.0,0.1,6.26,18.83
Flower power 632D,PI040298AD5I213126,2018-08-25 22:38:40,-1.0,0.1,6.39,19.13
Flower power 632D,PI040298AD5I213126,2018-08-25 22:53:40,-1.0,0.1,6.39,18.88
Flower power 632D,PI040298AD5I213126,2018-08-25 23:08:40,-1.0,0.1,6.02,18.64
Flower power 632D,PI040298AD5I213126,2018-08-25 23:23:40,-1.0,0.1,6.26,18.39
Flower power 632D,PI040298AD5I213126,2018-08-25 23:38:40,-1.0,0.1,6.14,18.69
Flower power 632D,PI040298AD5I213126,2018-08-25 23:53:40,-1.0,0.1,6.14,18.24
Flower power 632D,PI040298AD5I213126,2018-08-26 00:08:40,-1.0,0.1,6.14,17.98
Flower power 632D,PI040298AD5I213126,2018-08-26 00:23:40,-1.0,0.1,6.26,18.24
Flower power 632D,PI040298AD5I213126,2018-08-26 00:38:40,-1.0,0.1,6.39,18.08
Flower power 632D,PI040298AD5I213126,2018-08-26 00:53:40,-1.0,0.1,6.02,17.88
Flower power 632D,PI040298AD5I213126,2018-08-26 01:08:40,-1.0,0.1,6.26,17.63
Flower power 632D,PI040298AD5I213126,2018-08-26 01:23:40,-1.0,0.1,5.9,17.58
Flower power 632D,PI040298AD5I213126,2018-08-26 01:38:40,-1.0,0.1,6.26,17.17
Flower power 632D,PI040298AD5I213126,2018-08-26 01:53:40,-1.0,0.1,6.14,17.07
Flower power 632D,PI040298AD5I213126,2018-08-26 02:08:40,-1.0,0.1,6.02,16.5
Flower power 632D,PI040298AD5I213126,2018-08-26 02:23:40,-1.0,0.1,6.14,16.71
Flower power 632D,PI040298AD5I213126,2018-08-26 02:38:40,-1.0,0.1,5.9,16.91
Flower power 632D,PI040298AD5I213126,2018-08-26 02:53:40,-1.0,0.1,6.14,16.5
Flower power 632D,PI040298AD5I213126,2018-08-26 03:08:40,-1.0,0.1,6.14,16.29
Flower power 632D,PI040298AD5I213126,2018-08-26 03:23:40,-1.0,0.1,6.14,16.19
Flower power 632D,PI040298AD5I213126,2018-08-26 03:38:40,-1.0,0.1,6.14,15.4
Flower power 632D,PI040298AD5I213126,2018-08-26 03:53:40,-1.0,0.1,6.14,15.93
Flower power 632D,PI040298AD5I213126,2018-08-26 04:08:40,-1.0,0.1,6.14,15.19
