NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6CD4,PI040298AD5I209128,2018-08-25 17:07:22,-1.0,20.0,4.92,33.33
Flower power 6CD4,PI040298AD5I209128,2018-08-25 17:22:22,-1.0,16.68,4.92,31.78
Flower power 6CD4,PI040298AD5I209128,2018-08-25 17:37:22,-1.0,17.08,4.8,32.84
Flower power 6CD4,PI040298AD5I209128,2018-08-25 17:52:22,-1.0,17.05,5.27,32.67
Flower power 6CD4,PI040298AD5I209128,2018-08-25 18:07:22,-1.0,13.43,5.39,31.25
Flower power 6CD4,PI040298AD5I209128,2018-08-25 18:22:22,-1.0,7.21,5.39,28.38
Flower power 6CD4,PI040298AD5I209128,2018-08-25 18:37:22,-1.0,4.98,5.51,26.95
Flower power 6CD4,PI040298AD5I209128,2018-08-25 18:52:22,-1.0,2.72,5.39,25.97
Flower power 6CD4,PI040298AD5I209128,2018-08-25 19:07:22,-1.0,0.92,5.51,24.93
Flower power 6CD4,PI040298AD5I209128,2018-08-25 19:22:22,-1.0,0.13,5.39,24.11
Flower power 6CD4,PI040298AD5I209128,2018-08-25 19:37:22,-1.0,0.1,5.63,24.11
Flower power 6CD4,PI040298AD5I209128,2018-08-25 19:52:22,-1.0,0.1,5.27,24.11
Flower power 6CD4,PI040298AD5I209128,2018-08-25 20:07:22,-1.0,0.1,5.51,23.51
Flower power 6CD4,PI040298AD5I209128,2018-08-25 20:22:22,-1.0,0.1,5.63,23.37
Flower power 6CD4,PI040298AD5I209128,2018-08-25 20:37:22,-1.0,0.1,5.15,23.51
Flower power 6CD4,PI040298AD5I209128,2018-08-25 20:52:22,-1.0,0.1,5.63,23.33
Flower power 6CD4,PI040298AD5I209128,2018-08-25 21:07:22,-1.0,0.1,5.63,22.68
Flower power 6CD4,PI040298AD5I209128,2018-08-25 21:22:22,-1.0,0.1,5.27,22.72
Flower power 6CD4,PI040298AD5I209128,2018-08-25 21:37:22,-1.0,0.1,5.15,22.72
Flower power 6CD4,PI040298AD5I209128,2018-08-25 21:52:22,-1.0,0.1,5.39,22.68
Flower power 6CD4,PI040298AD5I209128,2018-08-25 22:07:22,-1.0,0.1,5.04,22.16
Flower power 6CD4,PI040298AD5I209128,2018-08-25 22:22:22,-1.0,0.1,5.15,21.79
Flower power 6CD4,PI040298AD5I209128,2018-08-25 22:37:22,-1.0,0.1,5.51,21.97
Flower power 6CD4,PI040298AD5I209128,2018-08-25 22:52:22,-1.0,0.1,5.63,21.97
Flower power 6CD4,PI040298AD5I209128,2018-08-25 23:07:22,-1.0,0.1,5.51,21.41
Flower power 6CD4,PI040298AD5I209128,2018-08-25 23:22:22,-1.0,0.1,5.39,21.07
Flower power 6CD4,PI040298AD5I209128,2018-08-25 23:37:22,-1.0,0.1,5.39,21.03
Flower power 6CD4,PI040298AD5I209128,2018-08-25 23:52:22,-1.0,0.1,5.27,20.5
Flower power 6CD4,PI040298AD5I209128,2018-08-26 00:07:22,-1.0,0.1,5.15,20.06
Flower power 6CD4,PI040298AD5I209128,2018-08-26 00:22:22,-1.0,0.1,5.04,20.06
Flower power 6CD4,PI040298AD5I209128,2018-08-26 00:37:22,-1.0,0.1,5.27,19.67
Flower power 6CD4,PI040298AD5I209128,2018-08-26 00:52:22,-1.0,0.1,5.39,20.06
Flower power 6CD4,PI040298AD5I209128,2018-08-26 01:07:22,-1.0,0.1,5.63,20.06
Flower power 6CD4,PI040298AD5I209128,2018-08-26 01:22:22,-1.0,0.1,5.15,20.01
Flower power 6CD4,PI040298AD5I209128,2018-08-26 01:37:22,-1.0,0.1,5.27,19.48
Flower power 6CD4,PI040298AD5I209128,2018-08-26 01:52:22,-1.0,0.1,5.27,19.43
Flower power 6CD4,PI040298AD5I209128,2018-08-26 02:07:22,-1.0,0.1,5.39,19.03
Flower power 6CD4,PI040298AD5I209128,2018-08-26 02:22:22,-1.0,0.1,5.39,18.69
Flower power 6CD4,PI040298AD5I209128,2018-08-26 02:37:22,-1.0,0.1,5.15,18.64
Flower power 6CD4,PI040298AD5I209128,2018-08-26 02:52:22,-1.0,0.1,5.51,18.39
Flower power 6CD4,PI040298AD5I209128,2018-08-26 03:07:22,-1.0,0.1,5.04,18.34
Flower power 6CD4,PI040298AD5I209128,2018-08-26 03:22:22,-1.0,0.1,5.04,18.39
Flower power 6CD4,PI040298AD5I209128,2018-08-26 03:37:22,-1.0,0.1,5.15,17.88
Flower power 6CD4,PI040298AD5I209128,2018-08-26 03:52:22,-1.0,0.1,5.39,18.24
Flower power 6CD4,PI040298AD5I209128,2018-08-26 04:07:22,-1.0,0.1,5.27,18.24
Flower power 6CD4,PI040298AD5I209128,2018-08-26 04:22:22,-1.0,0.1,5.51,17.83
Flower power 6CD4,PI040298AD5I209128,2018-08-26 04:37:22,-1.0,0.1,5.63,17.68
Flower power 6CD4,PI040298AD5I209128,2018-08-26 04:52:22,-1.0,0.1,5.15,17.17
Flower power 6CD4,PI040298AD5I209128,2018-08-26 05:07:22,-1.0,0.1,5.27,15.61
Flower power 6CD4,PI040298AD5I209128,2018-08-26 05:22:22,-1.0,0.1,5.51,17.48
Flower power 6CD4,PI040298AD5I209128,2018-08-26 05:37:22,-1.0,0.1,5.76,17.78
Flower power 6CD4,PI040298AD5I209128,2018-08-26 05:52:22,-1.0,0.17,5.39,18.13
Flower power 6CD4,PI040298AD5I209128,2018-08-26 06:07:22,-1.0,1.03,5.15,18.29
Flower power 6CD4,PI040298AD5I209128,2018-08-26 06:22:22,-1.0,3.88,5.04,21.12
Flower power 6CD4,PI040298AD5I209128,2018-08-26 06:37:17,-1.0,9.97,5.63,25.52
Flower power 6CD4,PI040298AD5I209128,2018-08-26 06:52:17,-1.0,17.14,5.15,28.95
Flower power 6CD4,PI040298AD5I209128,2018-08-26 07:07:17,-1.0,17.76,5.27,31.34
Flower power 6CD4,PI040298AD5I209128,2018-08-26 07:22:17,-1.0,28.39,5.63,28.07
Flower power 6CD4,PI040298AD5I209128,2018-08-26 07:37:17,-1.0,36.98,5.39,33.6
Flower power 6CD4,PI040298AD5I209128,2018-08-26 07:52:17,-1.0,35.36,5.51,41.07
Flower power 6CD4,PI040298AD5I209128,2018-08-26 08:07:17,-1.0,31.25,5.39,34.41
Flower power 6CD4,PI040298AD5I209128,2018-08-26 08:22:17,-1.0,57.84,5.04,42.11
Flower power 6CD4,PI040298AD5I209128,2018-08-26 08:37:17,-1.0,65.4,5.51,44.06
Flower power 6CD4,PI040298AD5I209128,2018-08-26 08:52:17,-1.0,70.43,5.15,47.41
Flower power 6CD4,PI040298AD5I209128,2018-08-26 09:07:17,-1.0,74.58,5.27,49.88
Flower power 6CD4,PI040298AD5I209128,2018-08-26 09:22:17,-1.0,79.87,5.39,50.83
Flower power 6CD4,PI040298AD5I209128,2018-08-26 09:37:17,-1.0,85.93,5.27,52.61
Flower power 6CD4,PI040298AD5I209128,2018-08-26 09:52:17,-1.0,94.67,5.51,53.43
Flower power 6CD4,PI040298AD5I209128,2018-08-26 10:07:17,-1.0,104.26,5.15,54.01
Flower power 6CD4,PI040298AD5I209128,2018-08-26 10:22:17,-1.0,110.98,5.15,55.0
Flower power 6CD4,PI040298AD5I209128,2018-08-26 10:37:17,-1.0,115.94,5.15,54.2
Flower power 6CD4,PI040298AD5I209128,2018-08-26 10:52:17,-1.0,121.35,5.63,54.26
Flower power 6CD4,PI040298AD5I209128,2018-08-26 11:07:17,-1.0,125.75,5.39,54.92
Flower power 6CD4,PI040298AD5I209128,2018-08-26 11:22:17,-1.0,130.46,5.27,54.14
Flower power 6CD4,PI040298AD5I209128,2018-08-26 11:37:17,-1.0,133.79,5.63,52.11
Flower power 6CD4,PI040298AD5I209128,2018-08-26 11:52:17,-1.0,135.53,5.27,52.74
Flower power 6CD4,PI040298AD5I209128,2018-08-26 12:07:17,-1.0,137.3,5.39,51.81
Flower power 6CD4,PI040298AD5I209128,2018-08-26 12:22:17,-1.0,139.12,5.39,51.81
Flower power 6CD4,PI040298AD5I209128,2018-08-26 12:37:17,-1.0,140.99,5.15,51.81
Flower power 6CD4,PI040298AD5I209128,2018-08-26 12:52:17,-1.0,140.99,5.39,51.81
Flower power 6CD4,PI040298AD5I209128,2018-08-26 13:07:17,-1.0,140.99,5.39,51.44
Flower power 6CD4,PI040298AD5I209128,2018-08-26 13:22:17,-1.0,139.12,5.39,49.76
Flower power 6CD4,PI040298AD5I209128,2018-08-26 13:37:17,-1.0,137.3,5.27,48.49
Flower power 6CD4,PI040298AD5I209128,2018-08-26 13:52:17,-1.0,133.79,5.51,48.14
Flower power 6CD4,PI040298AD5I209128,2018-08-26 14:07:17,-1.0,130.46,5.76,47.08
Flower power 6CD4,PI040298AD5I209128,2018-08-26 14:22:17,-1.0,127.28,5.63,47.69
Flower power 6CD4,PI040298AD5I209128,2018-08-26 14:37:17,-1.0,122.78,5.51,48.66
Flower power 6CD4,PI040298AD5I209128,2018-08-26 14:52:17,-1.0,118.59,5.51,47.69
Flower power 6CD4,PI040298AD5I209128,2018-08-26 15:07:17,-1.0,114.66,5.76,47.41
Flower power 6CD4,PI040298AD5I209128,2018-08-26 15:22:17,-1.0,107.52,5.88,46.14
Flower power 6CD4,PI040298AD5I209128,2018-08-26 15:37:17,-1.0,99.24,5.63,46.52
