NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6D13,PI040298AD5I209386,2018-08-25 18:33:51,-1.0,4.2,13.07,27.89
Flower power 6D13,PI040298AD5I209386,2018-08-25 18:48:51,-1.0,2.52,13.07,26.73
Flower power 6D13,PI040298AD5I209386,2018-08-25 19:03:51,-1.0,1.01,13.19,25.7
Flower power 6D13,PI040298AD5I209386,2018-08-25 19:18:51,-1.0,0.18,13.32,24.66
Flower power 6D13,PI040298AD5I209386,2018-08-25 19:33:51,-1.0,0.1,13.07,24.2
Flower power 6D13,PI040298AD5I209386,2018-08-25 19:48:51,-1.0,0.1,13.45,23.88
Flower power 6D13,PI040298AD5I209386,2018-08-25 20:03:51,-1.0,0.1,13.19,23.97
Flower power 6D13,PI040298AD5I209386,2018-08-25 20:18:51,-1.0,0.1,13.19,23.7
Flower power 6D13,PI040298AD5I209386,2018-08-25 20:33:51,-1.0,0.1,13.07,23.79
Flower power 6D13,PI040298AD5I209386,2018-08-25 20:48:51,-1.0,0.1,13.32,23.42
Flower power 6D13,PI040298AD5I209386,2018-08-25 21:03:51,-1.0,0.1,13.58,23.1
Flower power 6D13,PI040298AD5I209386,2018-08-25 21:18:51,-1.0,0.1,13.45,23.0
Flower power 6D13,PI040298AD5I209386,2018-08-25 21:33:51,-1.0,0.1,13.32,22.63
Flower power 6D13,PI040298AD5I209386,2018-08-25 21:48:51,-1.0,0.1,13.45,22.3
Flower power 6D13,PI040298AD5I209386,2018-08-25 22:03:51,-1.0,0.1,13.32,22.68
Flower power 6D13,PI040298AD5I209386,2018-08-25 22:18:51,-1.0,0.1,13.32,22.12
Flower power 6D13,PI040298AD5I209386,2018-08-25 22:33:51,-1.0,0.1,13.07,22.12
Flower power 6D13,PI040298AD5I209386,2018-08-25 22:48:51,-1.0,0.1,13.19,22.02
Flower power 6D13,PI040298AD5I209386,2018-08-25 23:03:51,-1.0,0.1,13.19,21.88
Flower power 6D13,PI040298AD5I209386,2018-08-25 23:18:51,-1.0,0.1,13.19,21.26
Flower power 6D13,PI040298AD5I209386,2018-08-25 23:33:51,-1.0,0.1,13.45,20.88
Flower power 6D13,PI040298AD5I209386,2018-08-25 23:48:51,-1.0,0.1,13.45,20.93
Flower power 6D13,PI040298AD5I209386,2018-08-26 00:03:51,-1.0,0.1,12.94,20.3
Flower power 6D13,PI040298AD5I209386,2018-08-26 00:18:51,-1.0,0.1,13.19,20.21
Flower power 6D13,PI040298AD5I209386,2018-08-26 00:33:51,-1.0,0.1,12.94,20.01
Flower power 6D13,PI040298AD5I209386,2018-08-26 00:48:51,-1.0,0.1,13.07,19.87
Flower power 6D13,PI040298AD5I209386,2018-08-26 01:03:51,-1.0,0.1,13.07,19.48
Flower power 6D13,PI040298AD5I209386,2018-08-26 01:18:51,-1.0,0.1,13.45,19.08
Flower power 6D13,PI040298AD5I209386,2018-08-26 01:33:51,-1.0,0.1,13.07,17.53
Flower power 6D13,PI040298AD5I209386,2018-08-26 01:48:51,-1.0,0.1,13.19,17.02
Flower power 6D13,PI040298AD5I209386,2018-08-26 02:03:51,-1.0,0.1,13.45,17.07
Flower power 6D13,PI040298AD5I209386,2018-08-26 02:18:51,-1.0,0.1,13.19,17.17
Flower power 6D13,PI040298AD5I209386,2018-08-26 02:33:51,-1.0,0.1,12.81,18.44
Flower power 6D13,PI040298AD5I209386,2018-08-26 02:48:51,-1.0,0.1,12.94,18.64
Flower power 6D13,PI040298AD5I209386,2018-08-26 03:03:51,-1.0,0.1,13.07,18.34
Flower power 6D13,PI040298AD5I209386,2018-08-26 03:18:51,-1.0,0.1,13.19,17.98
Flower power 6D13,PI040298AD5I209386,2018-08-26 03:33:51,-1.0,0.1,13.32,17.78
Flower power 6D13,PI040298AD5I209386,2018-08-26 03:48:51,-1.0,0.1,13.19,17.63
Flower power 6D13,PI040298AD5I209386,2018-08-26 04:03:51,-1.0,0.1,12.94,17.78
Flower power 6D13,PI040298AD5I209386,2018-08-26 04:18:51,-1.0,0.1,13.19,17.27
Flower power 6D13,PI040298AD5I209386,2018-08-26 04:33:51,-1.0,0.1,12.68,17.07
Flower power 6D13,PI040298AD5I209386,2018-08-26 04:48:51,-1.0,0.1,13.19,16.34
Flower power 6D13,PI040298AD5I209386,2018-08-26 05:03:51,-1.0,0.1,13.07,15.56
Flower power 6D13,PI040298AD5I209386,2018-08-26 05:18:51,-1.0,0.1,12.68,15.87
Flower power 6D13,PI040298AD5I209386,2018-08-26 05:33:51,-1.0,0.1,13.07,16.66
Flower power 6D13,PI040298AD5I209386,2018-08-26 05:48:51,-1.0,0.1,12.81,16.76
Flower power 6D13,PI040298AD5I209386,2018-08-26 06:03:51,-1.0,0.68,12.94,17.38
Flower power 6D13,PI040298AD5I209386,2018-08-26 06:18:51,-1.0,2.09,13.19,18.08
Flower power 6D13,PI040298AD5I209386,2018-08-26 06:33:51,-1.0,3.88,12.81,18.39
Flower power 6D13,PI040298AD5I209386,2018-08-26 06:48:51,-1.0,7.07,13.07,20.45
Flower power 6D13,PI040298AD5I209386,2018-08-26 07:03:51,-1.0,16.93,12.94,27.49
Flower power 6D13,PI040298AD5I209386,2018-08-26 07:18:51,-1.0,21.86,13.07,29.53
Flower power 6D13,PI040298AD5I209386,2018-08-26 07:33:51,-1.0,25.52,12.94,33.69
Flower power 6D13,PI040298AD5I209386,2018-08-26 07:48:51,-1.0,35.0,12.94,38.74
Flower power 6D13,PI040298AD5I209386,2018-08-26 08:03:51,-1.0,41.66,12.94,41.76
Flower power 6D13,PI040298AD5I209386,2018-08-26 08:18:51,-1.0,49.55,12.68,42.72
Flower power 6D13,PI040298AD5I209386,2018-08-26 08:33:51,-1.0,57.83,12.94,42.97
Flower power 6D13,PI040298AD5I209386,2018-08-26 08:48:51,-1.0,64.05,13.19,45.65
Flower power 6D13,PI040298AD5I209386,2018-08-26 09:03:51,-1.0,72.75,12.81,48.2
Flower power 6D13,PI040298AD5I209386,2018-08-26 09:18:51,-1.0,78.91,12.81,50.83
Flower power 6D13,PI040298AD5I209386,2018-08-26 09:33:51,-1.0,86.18,12.94,52.24
Flower power 6D13,PI040298AD5I209386,2018-08-26 09:48:51,-1.0,93.17,12.81,53.11
Flower power 6D13,PI040298AD5I209386,2018-08-26 10:03:51,-1.0,103.36,12.81,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 10:18:51,-1.0,111.05,12.81,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 10:33:51,-1.0,117.26,13.32,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 10:48:51,-1.0,121.32,13.32,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 11:03:51,-1.0,125.66,13.19,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 11:18:51,-1.0,128.72,13.32,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 11:33:51,-1.0,130.31,13.58,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 11:48:51,-1.0,133.61,13.19,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 12:03:51,-1.0,135.31,13.58,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 12:18:51,-1.0,135.31,13.45,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 12:33:51,-1.0,133.61,13.45,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 12:48:51,-1.0,131.94,13.7,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 13:03:51,-1.0,130.31,13.96,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 13:18:51,-1.0,122.73,13.96,55.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 13:33:51,-1.0,113.45,13.7,54.59
Flower power 6D13,PI040298AD5I209386,2018-08-26 13:48:51,-1.0,114.69,13.96,52.8
Flower power 6D13,PI040298AD5I209386,2018-08-26 14:03:51,-1.0,114.69,13.96,51.68
Flower power 6D13,PI040298AD5I209386,2018-08-26 14:18:51,-1.0,112.24,14.08,51.99
Flower power 6D13,PI040298AD5I209386,2018-08-26 14:33:51,-1.0,108.74,13.96,53.18
Flower power 6D13,PI040298AD5I209386,2018-08-26 14:48:51,-1.0,104.39,13.96,52.49
Flower power 6D13,PI040298AD5I209386,2018-08-26 15:03:51,-1.0,99.41,14.21,51.93
Flower power 6D13,PI040298AD5I209386,2018-08-26 15:18:51,-1.0,93.17,13.7,50.12
Flower power 6D13,PI040298AD5I209386,2018-08-26 15:33:51,-1.0,83.39,14.21,49.12
Flower power 6D13,PI040298AD5I209386,2018-08-26 15:48:51,-1.0,60.6,13.96,49.06
Flower power 6D13,PI040298AD5I209386,2018-08-26 16:03:51,-1.0,51.59,13.83,46.97
Flower power 6D13,PI040298AD5I209386,2018-08-26 16:18:51,-1.0,54.69,13.83,43.44
Flower power 6D13,PI040298AD5I209386,2018-08-26 16:33:51,-1.0,46.12,13.96,45.12
Flower power 6D13,PI040298AD5I209386,2018-08-26 16:48:51,-1.0,45.69,13.96,43.33
Flower power 6D13,PI040298AD5I209386,2018-08-26 17:03:51,-1.0,9.99,14.21,34.01
Flower power 6D13,PI040298AD5I209386,2018-08-26 17:18:51,-1.0,8.62,13.7,30.41
Flower power 6D13,PI040298AD5I209386,2018-08-26 17:33:51,-1.0,7.56,13.7,29.35
Flower power 6D13,PI040298AD5I209386,2018-08-26 17:48:51,-1.0,6.72,13.96,28.42
Flower power 6D13,PI040298AD5I209386,2018-08-26 18:03:51,-1.0,5.82,13.96,27.71
Flower power 6D13,PI040298AD5I209386,2018-08-26 18:18:51,-1.0,4.89,13.45,27.0
Flower power 6D13,PI040298AD5I209386,2018-08-26 18:33:51,-1.0,3.73,13.83,26.19
Flower power 6D13,PI040298AD5I209386,2018-08-26 18:48:51,-1.0,2.37,13.58,25.43
Flower power 6D13,PI040298AD5I209386,2018-08-26 19:03:51,-1.0,0.98,13.58,24.11
Flower power 6D13,PI040298AD5I209386,2018-08-26 19:18:51,-1.0,0.15,13.58,22.63
Flower power 6D13,PI040298AD5I209386,2018-08-26 19:33:51,-1.0,0.1,13.96,21.69
Flower power 6D13,PI040298AD5I209386,2018-08-26 19:48:51,-1.0,0.1,13.96,21.26
Flower power 6D13,PI040298AD5I209386,2018-08-26 20:03:51,-1.0,0.1,13.58,21.12
Flower power 6D13,PI040298AD5I209386,2018-08-26 20:18:51,-1.0,0.1,13.83,21.03
Flower power 6D13,PI040298AD5I209386,2018-08-26 20:33:51,-1.0,0.1,13.96,21.17
Flower power 6D13,PI040298AD5I209386,2018-08-26 20:48:51,-1.0,0.1,13.7,20.98
Flower power 6D13,PI040298AD5I209386,2018-08-26 21:03:51,-1.0,0.1,13.32,20.64
Flower power 6D13,PI040298AD5I209386,2018-08-26 21:18:51,-1.0,0.1,13.83,20.35
Flower power 6D13,PI040298AD5I209386,2018-08-26 21:33:51,-1.0,0.1,13.58,20.3
Flower power 6D13,PI040298AD5I209386,2018-08-26 21:48:51,-1.0,0.1,13.45,20.26
Flower power 6D13,PI040298AD5I209386,2018-08-26 22:03:51,-1.0,0.1,13.83,19.87
Flower power 6D13,PI040298AD5I209386,2018-08-26 22:18:51,-1.0,0.1,13.58,19.77
Flower power 6D13,PI040298AD5I209386,2018-08-26 22:33:51,-1.0,0.1,13.32,19.28
Flower power 6D13,PI040298AD5I209386,2018-08-26 22:48:51,-1.0,0.1,13.7,18.88
