NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6DB3,PI040298AD5I206466,2018-08-16 18:39:06,-1.0,5.57,12.42,24.75
Flower power 6DB3,PI040298AD5I206466,2018-08-16 18:54:06,-1.0,3.87,12.55,23.6
Flower power 6DB3,PI040298AD5I206466,2018-08-16 19:09:06,-1.0,1.67,12.29,23.14
Flower power 6DB3,PI040298AD5I206466,2018-08-16 19:24:06,-1.0,0.42,12.68,22.21
Flower power 6DB3,PI040298AD5I206466,2018-08-16 19:39:06,-1.0,0.1,12.03,21.6
Flower power 6DB3,PI040298AD5I206466,2018-08-16 19:54:06,-1.0,0.1,12.42,21.12
Flower power 6DB3,PI040298AD5I206466,2018-08-16 20:09:06,-1.0,0.1,12.16,20.59
Flower power 6DB3,PI040298AD5I206466,2018-08-16 20:24:06,-1.0,0.1,12.55,20.3
Flower power 6DB3,PI040298AD5I206466,2018-08-16 20:39:06,-1.0,0.1,12.42,20.26
Flower power 6DB3,PI040298AD5I206466,2018-08-16 20:54:06,-1.0,0.1,12.42,20.01
Flower power 6DB3,PI040298AD5I206466,2018-08-16 21:09:06,-1.0,0.1,12.55,19.87
Flower power 6DB3,PI040298AD5I206466,2018-08-16 21:24:06,-1.0,0.1,12.29,19.33
Flower power 6DB3,PI040298AD5I206466,2018-08-16 21:39:06,-1.0,0.1,12.55,19.43
Flower power 6DB3,PI040298AD5I206466,2018-08-16 21:54:06,-1.0,0.1,12.16,19.23
Flower power 6DB3,PI040298AD5I206466,2018-08-16 22:09:06,-1.0,0.1,12.16,19.03
Flower power 6DB3,PI040298AD5I206466,2018-08-16 22:24:06,-1.0,0.1,12.55,18.93
Flower power 6DB3,PI040298AD5I206466,2018-08-16 22:39:06,-1.0,0.1,12.29,18.74
Flower power 6DB3,PI040298AD5I206466,2018-08-16 22:54:06,-1.0,0.1,12.03,18.69
Flower power 6DB3,PI040298AD5I206466,2018-08-16 23:09:06,-1.0,0.1,12.16,18.49
Flower power 6DB3,PI040298AD5I206466,2018-08-16 23:24:06,-1.0,0.1,12.42,18.13
Flower power 6DB3,PI040298AD5I206466,2018-08-16 23:39:06,-1.0,0.1,12.29,18.19
Flower power 6DB3,PI040298AD5I206466,2018-08-16 23:54:06,-1.0,0.1,12.03,18.24
Flower power 6DB3,PI040298AD5I206466,2018-08-17 00:09:06,-1.0,0.1,12.03,17.78
Flower power 6DB3,PI040298AD5I206466,2018-08-17 00:24:06,-1.0,0.1,12.42,16.86
Flower power 6DB3,PI040298AD5I206466,2018-08-17 00:39:06,-1.0,0.1,12.29,16.6
Flower power 6DB3,PI040298AD5I206466,2018-08-17 00:54:06,-1.0,0.1,12.29,16.81
Flower power 6DB3,PI040298AD5I206466,2018-08-17 01:09:06,-1.0,0.1,12.03,17.07
Flower power 6DB3,PI040298AD5I206466,2018-08-17 01:24:06,-1.0,0.1,12.16,17.12
Flower power 6DB3,PI040298AD5I206466,2018-08-17 01:39:06,-1.0,0.1,12.42,16.97
Flower power 6DB3,PI040298AD5I206466,2018-08-17 01:54:06,-1.0,0.1,11.77,17.22
Flower power 6DB3,PI040298AD5I206466,2018-08-17 02:09:06,-1.0,0.1,12.03,17.12
Flower power 6DB3,PI040298AD5I206466,2018-08-17 02:24:06,-1.0,0.1,12.16,16.91
Flower power 6DB3,PI040298AD5I206466,2018-08-17 02:39:06,-1.0,0.1,12.16,16.66
Flower power 6DB3,PI040298AD5I206466,2018-08-17 02:54:06,-1.0,0.1,11.9,16.24
Flower power 6DB3,PI040298AD5I206466,2018-08-17 03:09:06,-1.0,0.1,11.9,16.08
