NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 6F1C,PI040298AD5I206995,2018-09-04 12:02:16,-1.0,93.92,7.79,37.75
Flower power 6F1C,PI040298AD5I206995,2018-09-04 12:17:16,-1.0,65.01,7.66,36.82
Flower power 6F1C,PI040298AD5I206995,2018-09-04 12:32:16,-1.0,46.63,7.66,34.54
Flower power 6F1C,PI040298AD5I206995,2018-09-04 12:47:16,-1.0,61.27,7.91,35.5
Flower power 6F1C,PI040298AD5I206995,2018-09-04 13:02:16,-1.0,42.81,7.41,33.6
Flower power 6F1C,PI040298AD5I206995,2018-09-04 13:17:16,-1.0,37.95,8.04,33.2
Flower power 6F1C,PI040298AD5I206995,2018-09-04 13:32:16,-1.0,36.1,7.66,32.36
Flower power 6F1C,PI040298AD5I206995,2018-09-04 13:47:16,-1.0,45.81,7.79,33.2
Flower power 6F1C,PI040298AD5I206995,2018-09-04 14:02:16,-1.0,46.02,7.79,34.14
Flower power 6F1C,PI040298AD5I206995,2018-09-04 14:17:16,-1.0,36.74,7.41,32.67
Flower power 6F1C,PI040298AD5I206995,2018-09-04 14:32:16,-1.0,32.25,7.91,31.6
Flower power 6F1C,PI040298AD5I206995,2018-09-04 14:47:16,-1.0,28.0,7.91,31.73
Flower power 6F1C,PI040298AD5I206995,2018-09-04 15:02:16,-1.0,23.95,7.79,30.5
Flower power 6F1C,PI040298AD5I206995,2018-09-04 15:17:16,-1.0,15.93,8.04,28.77
Flower power 6F1C,PI040298AD5I206995,2018-09-04 15:32:16,-1.0,13.63,8.16,27.67
Flower power 6F1C,PI040298AD5I206995,2018-09-04 15:47:16,-1.0,17.8,7.54,28.69
Flower power 6F1C,PI040298AD5I206995,2018-09-04 16:02:16,-1.0,10.03,7.79,27.58
Flower power 6F1C,PI040298AD5I206995,2018-09-04 16:17:16,-1.0,11.4,7.66,26.82
Flower power 6F1C,PI040298AD5I206995,2018-09-04 16:32:16,-1.0,16.78,7.79,29.48
Flower power 6F1C,PI040298AD5I206995,2018-09-04 16:47:16,-1.0,14.0,7.91,28.11
Flower power 6F1C,PI040298AD5I206995,2018-09-04 17:02:16,-1.0,11.97,7.41,27.8
Flower power 6F1C,PI040298AD5I206995,2018-09-04 17:17:16,-1.0,13.63,8.04,27.71
Flower power 6F1C,PI040298AD5I206995,2018-09-04 17:32:16,-1.0,15.34,7.79,27.62
Flower power 6F1C,PI040298AD5I206995,2018-09-04 17:47:16,-1.0,9.09,7.54,27.36
