NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 716B,PI040298AD5G205297,2018-08-21 16:33:14,-1.0,71.65,13.42,41.26
Flower power 716B,PI040298AD5G205297,2018-08-21 16:48:09,-1.0,64.29,13.16,39.32
Flower power 716B,PI040298AD5G205297,2018-08-21 17:03:09,-1.0,54.14,13.16,37.06
Flower power 716B,PI040298AD5G205297,2018-08-21 17:18:09,-1.0,51.34,13.29,35.36
Flower power 716B,PI040298AD5G205297,2018-08-21 17:33:09,-1.0,25.69,12.91,33.33
Flower power 716B,PI040298AD5G205297,2018-08-21 17:48:09,-1.0,13.2,13.29,31.91
Flower power 716B,PI040298AD5G205297,2018-08-21 18:03:09,-1.0,9.89,13.42,30.59
Flower power 716B,PI040298AD5G205297,2018-08-21 18:18:09,-1.0,8.02,13.29,29.35
Flower power 716B,PI040298AD5G205297,2018-08-21 18:33:09,-1.0,6.06,13.29,28.15
Flower power 716B,PI040298AD5G205297,2018-08-21 18:48:09,-1.0,3.58,13.29,27.18
Flower power 716B,PI040298AD5G205297,2018-08-21 19:03:09,-1.0,1.71,13.16,26.24
Flower power 716B,PI040298AD5G205297,2018-08-21 19:18:09,-1.0,0.5,13.29,24.79
Flower power 716B,PI040298AD5G205297,2018-08-21 19:33:09,-1.0,0.1,13.16,24.29
Flower power 716B,PI040298AD5G205297,2018-08-21 19:48:09,-1.0,0.1,13.67,23.88
Flower power 716B,PI040298AD5G205297,2018-08-21 20:03:09,-1.0,0.1,13.16,23.7
Flower power 716B,PI040298AD5G205297,2018-08-21 20:18:09,-1.0,0.1,13.29,23.0
Flower power 716B,PI040298AD5G205297,2018-08-21 20:33:09,-1.0,0.1,13.29,22.82
Flower power 716B,PI040298AD5G205297,2018-08-21 20:48:09,-1.0,0.1,13.42,22.49
Flower power 716B,PI040298AD5G205297,2018-08-21 21:03:09,-1.0,0.1,13.29,22.21
Flower power 716B,PI040298AD5G205297,2018-08-21 21:18:09,-1.0,0.1,13.42,22.44
Flower power 716B,PI040298AD5G205297,2018-08-21 21:33:09,-1.0,0.1,13.03,22.44
Flower power 716B,PI040298AD5G205297,2018-08-21 21:48:09,-1.0,0.1,13.67,22.63
Flower power 716B,PI040298AD5G205297,2018-08-21 22:03:09,-1.0,0.1,13.16,22.68
Flower power 716B,PI040298AD5G205297,2018-08-21 22:18:09,-1.0,0.1,13.42,22.35
Flower power 716B,PI040298AD5G205297,2018-08-21 22:33:09,-1.0,0.1,13.67,22.58
Flower power 716B,PI040298AD5G205297,2018-08-21 22:48:09,-1.0,0.1,13.42,22.4
Flower power 716B,PI040298AD5G205297,2018-08-21 23:03:09,-1.0,0.1,13.54,22.02
Flower power 716B,PI040298AD5G205297,2018-08-21 23:18:09,-1.0,0.1,13.42,21.93
Flower power 716B,PI040298AD5G205297,2018-08-21 23:33:09,-1.0,0.1,13.42,21.36
Flower power 716B,PI040298AD5G205297,2018-08-21 23:48:09,-1.0,0.1,13.42,20.83
Flower power 716B,PI040298AD5G205297,2018-08-22 00:03:09,-1.0,0.1,13.29,20.93
Flower power 716B,PI040298AD5G205297,2018-08-22 00:18:09,-1.0,0.1,13.42,20.88
Flower power 716B,PI040298AD5G205297,2018-08-22 00:33:09,-1.0,0.1,13.16,21.55
Flower power 716B,PI040298AD5G205297,2018-08-22 00:48:09,-1.0,0.1,13.42,20.79
Flower power 716B,PI040298AD5G205297,2018-08-22 01:03:09,-1.0,0.1,13.42,19.87
Flower power 716B,PI040298AD5G205297,2018-08-22 01:18:09,-1.0,0.1,13.03,18.39
Flower power 716B,PI040298AD5G205297,2018-08-22 01:33:09,-1.0,0.1,13.54,17.88
Flower power 716B,PI040298AD5G205297,2018-08-22 01:48:09,-1.0,0.1,13.16,17.53
Flower power 716B,PI040298AD5G205297,2018-08-22 02:03:09,-1.0,0.1,13.67,17.38
Flower power 716B,PI040298AD5G205297,2018-08-22 02:18:09,-1.0,0.1,13.03,17.02
Flower power 716B,PI040298AD5G205297,2018-08-22 02:33:09,-1.0,0.1,13.16,16.81
Flower power 716B,PI040298AD5G205297,2018-08-22 02:48:09,-1.0,0.1,13.42,16.6
Flower power 716B,PI040298AD5G205297,2018-08-22 03:03:09,-1.0,0.1,13.03,16.6
Flower power 716B,PI040298AD5G205297,2018-08-22 03:18:09,-1.0,0.1,13.42,16.24
Flower power 716B,PI040298AD5G205297,2018-08-22 03:33:09,-1.0,0.1,13.67,16.24
Flower power 716B,PI040298AD5G205297,2018-08-22 03:48:09,-1.0,0.1,13.42,16.03
Flower power 716B,PI040298AD5G205297,2018-08-22 04:03:09,-1.0,0.1,12.91,15.82
