NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 8ED3,PI040298AD5I213087,2018-08-16 18:38:22,-1.0,3.15,10.77,22.72
Flower power 8ED3,PI040298AD5I213087,2018-08-16 18:53:22,-1.0,2.14,10.39,22.12
Flower power 8ED3,PI040298AD5I213087,2018-08-16 19:08:22,-1.0,1.1,10.39,21.83
Flower power 8ED3,PI040298AD5I213087,2018-08-16 19:23:22,-1.0,0.31,10.77,21.69
Flower power 8ED3,PI040298AD5I213087,2018-08-16 19:38:22,-1.0,0.1,10.52,21.31
Flower power 8ED3,PI040298AD5I213087,2018-08-16 19:53:22,-1.0,0.1,10.39,20.93
Flower power 8ED3,PI040298AD5I213087,2018-08-16 20:08:22,-1.0,0.1,10.89,20.35
Flower power 8ED3,PI040298AD5I213087,2018-08-16 20:23:22,-1.0,0.1,10.52,20.21
Flower power 8ED3,PI040298AD5I213087,2018-08-16 20:38:22,-1.0,0.1,10.52,20.16
Flower power 8ED3,PI040298AD5I213087,2018-08-16 20:53:22,-1.0,0.1,10.52,19.87
Flower power 8ED3,PI040298AD5I213087,2018-08-16 21:08:22,-1.0,0.1,10.77,19.57
Flower power 8ED3,PI040298AD5I213087,2018-08-16 21:23:22,-1.0,0.1,10.39,19.23
Flower power 8ED3,PI040298AD5I213087,2018-08-16 21:38:22,-1.0,0.1,10.39,19.38
Flower power 8ED3,PI040298AD5I213087,2018-08-16 21:53:22,-1.0,0.1,10.64,19.28
Flower power 8ED3,PI040298AD5I213087,2018-08-16 22:08:22,-1.0,0.1,10.52,19.13
Flower power 8ED3,PI040298AD5I213087,2018-08-16 22:23:22,-1.0,0.1,10.39,19.03
Flower power 8ED3,PI040298AD5I213087,2018-08-16 22:38:22,-1.0,0.1,10.27,18.93
Flower power 8ED3,PI040298AD5I213087,2018-08-16 22:53:22,-1.0,0.1,10.52,19.03
Flower power 8ED3,PI040298AD5I213087,2018-08-16 23:08:22,-1.0,0.1,10.89,18.88
Flower power 8ED3,PI040298AD5I213087,2018-08-16 23:23:22,-1.0,0.1,10.64,18.54
