NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 9417,PI040298AD5I211342,2018-08-16 18:35:40,-1.0,9.55,7.77,28.2
Flower power 9417,PI040298AD5I211342,2018-08-16 18:50:40,-1.0,4.0,7.39,24.11
Flower power 9417,PI040298AD5I211342,2018-08-16 19:05:40,-1.0,1.98,7.89,23.1
Flower power 9417,PI040298AD5I211342,2018-08-16 19:20:40,-1.0,0.61,7.64,22.91
Flower power 9417,PI040298AD5I211342,2018-08-16 19:35:40,-1.0,0.1,7.89,22.44
Flower power 9417,PI040298AD5I211342,2018-08-16 19:50:40,-1.0,0.1,7.27,21.93
Flower power 9417,PI040298AD5I211342,2018-08-16 20:05:40,-1.0,0.1,7.27,21.55
Flower power 9417,PI040298AD5I211342,2018-08-16 20:20:40,-1.0,0.1,7.64,21.36
Flower power 9417,PI040298AD5I211342,2018-08-16 20:35:40,-1.0,0.1,7.64,21.12
Flower power 9417,PI040298AD5I211342,2018-08-16 20:50:40,-1.0,0.1,7.39,20.88
Flower power 9417,PI040298AD5I211342,2018-08-16 21:05:40,-1.0,0.1,7.89,20.79
Flower power 9417,PI040298AD5I211342,2018-08-16 21:20:40,-1.0,0.1,7.52,20.55
Flower power 9417,PI040298AD5I211342,2018-08-16 21:35:40,-1.0,0.1,7.77,20.45
Flower power 9417,PI040298AD5I211342,2018-08-16 21:50:40,-1.0,0.1,7.64,20.16
Flower power 9417,PI040298AD5I211342,2018-08-16 22:05:40,-1.0,0.1,7.52,20.01
Flower power 9417,PI040298AD5I211342,2018-08-16 22:20:40,-1.0,0.1,7.52,19.92
Flower power 9417,PI040298AD5I211342,2018-08-16 22:35:40,-1.0,0.1,7.64,19.87
Flower power 9417,PI040298AD5I211342,2018-08-16 22:50:40,-1.0,0.1,7.39,19.87
Flower power 9417,PI040298AD5I211342,2018-08-16 23:05:40,-1.0,0.1,7.39,19.72
Flower power 9417,PI040298AD5I211342,2018-08-16 23:20:40,-1.0,0.1,7.52,19.43
Flower power 9417,PI040298AD5I211342,2018-08-16 23:35:40,-1.0,0.1,7.14,19.38
Flower power 9417,PI040298AD5I211342,2018-08-16 23:50:40,-1.0,0.1,7.52,18.59
Flower power 9417,PI040298AD5I211342,2018-08-17 00:05:40,-1.0,0.1,7.52,17.78
Flower power 9417,PI040298AD5I211342,2018-08-17 00:20:40,-1.0,0.1,7.27,17.27
Flower power 9417,PI040298AD5I211342,2018-08-17 00:35:40,-1.0,0.1,7.27,17.48
Flower power 9417,PI040298AD5I211342,2018-08-17 00:50:40,-1.0,0.1,7.52,17.98
Flower power 9417,PI040298AD5I211342,2018-08-17 01:05:40,-1.0,0.1,7.27,17.38
Flower power 9417,PI040298AD5I211342,2018-08-17 01:20:40,-1.0,0.1,7.64,17.88
Flower power 9417,PI040298AD5I211342,2018-08-17 01:35:40,-1.0,0.1,7.02,16.91
Flower power 9417,PI040298AD5I211342,2018-08-17 01:50:40,-1.0,0.1,7.14,16.76
Flower power 9417,PI040298AD5I211342,2018-08-17 02:05:40,-1.0,0.1,7.14,17.07
Flower power 9417,PI040298AD5I211342,2018-08-17 02:20:40,-1.0,0.1,7.27,17.93
Flower power 9417,PI040298AD5I211342,2018-08-17 02:35:40,-1.0,0.1,7.27,17.43
Flower power 9417,PI040298AD5I211342,2018-08-17 02:50:40,-1.0,0.1,7.39,16.4
Flower power 9417,PI040298AD5I211342,2018-08-17 03:05:40,-1.0,0.1,7.39,16.29
Flower power 9417,PI040298AD5I211342,2018-08-17 03:20:40,-1.0,0.1,7.27,15.98
Flower power 9417,PI040298AD5I211342,2018-08-17 03:35:40,-1.0,0.1,7.27,15.87
Flower power 9417,PI040298AD5I211342,2018-08-17 03:50:40,-1.0,0.1,7.39,15.87
Flower power 9417,PI040298AD5I211342,2018-08-17 04:05:40,-1.0,0.1,7.02,15.93
Flower power 9417,PI040298AD5I211342,2018-08-17 04:20:40,-1.0,0.1,7.52,16.34
Flower power 9417,PI040298AD5I211342,2018-08-17 04:35:40,-1.0,0.1,7.27,17.22
Flower power 9417,PI040298AD5I211342,2018-08-17 04:50:40,-1.0,0.1,7.27,17.53
Flower power 9417,PI040298AD5I211342,2018-08-17 05:05:40,-1.0,0.1,7.14,17.53
Flower power 9417,PI040298AD5I211342,2018-08-17 05:20:40,-1.0,0.1,7.52,17.78
Flower power 9417,PI040298AD5I211342,2018-08-17 05:35:40,-1.0,0.1,7.39,17.53
Flower power 9417,PI040298AD5I211342,2018-08-17 05:50:40,-1.0,0.34,7.14,17.78
Flower power 9417,PI040298AD5I211342,2018-08-17 06:05:40,-1.0,1.43,7.39,18.03
Flower power 9417,PI040298AD5I211342,2018-08-17 06:20:40,-1.0,3.33,7.27,18.88
Flower power 9417,PI040298AD5I211342,2018-08-17 06:35:40,-1.0,5.43,7.39,19.43
Flower power 9417,PI040298AD5I211342,2018-08-17 06:50:40,-1.0,7.34,7.27,20.64
Flower power 9417,PI040298AD5I211342,2018-08-17 07:05:40,-1.0,23.22,7.14,27.18
Flower power 9417,PI040298AD5I211342,2018-08-17 07:20:40,-1.0,30.31,7.52,32.8
Flower power 9417,PI040298AD5I211342,2018-08-17 07:35:40,-1.0,36.94,7.14,33.92
Flower power 9417,PI040298AD5I211342,2018-08-17 07:50:40,-1.0,42.92,6.9,35.13
Flower power 9417,PI040298AD5I211342,2018-08-17 08:05:40,-1.0,48.55,7.39,37.66
Flower power 9417,PI040298AD5I211342,2018-08-17 08:20:40,-1.0,53.96,7.02,36.73
Flower power 9417,PI040298AD5I211342,2018-08-17 08:35:40,-1.0,59.93,7.14,39.46
Flower power 9417,PI040298AD5I211342,2018-08-17 08:50:40,-1.0,65.98,7.64,38.6
Flower power 9417,PI040298AD5I211342,2018-08-17 09:05:40,-1.0,33.66,7.64,33.47
Flower power 9417,PI040298AD5I211342,2018-08-17 09:20:40,-1.0,13.55,7.52,30.32
