NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 947E,PI040298AD5I213936,2018-08-25 18:51:10,-1.0,1.52,10.96,27.22
Flower power 947E,PI040298AD5I213936,2018-08-25 19:06:10,-1.0,0.57,11.35,26.37
Flower power 947E,PI040298AD5I213936,2018-08-25 19:21:10,-1.0,0.1,11.22,25.56
Flower power 947E,PI040298AD5I213936,2018-08-25 19:36:10,-1.0,0.1,11.61,25.29
Flower power 947E,PI040298AD5I213936,2018-08-25 19:51:10,-1.0,0.1,11.35,25.07
Flower power 947E,PI040298AD5I213936,2018-08-25 20:06:10,-1.0,0.1,11.35,24.79
Flower power 947E,PI040298AD5I213936,2018-08-25 20:21:10,-1.0,0.1,11.61,24.61
Flower power 947E,PI040298AD5I213936,2018-08-25 20:36:10,-1.0,0.1,11.48,24.48
Flower power 947E,PI040298AD5I213936,2018-08-25 20:51:10,-1.0,0.1,11.87,24.16
Flower power 947E,PI040298AD5I213936,2018-08-25 21:06:10,-1.0,0.1,12.0,23.83
Flower power 947E,PI040298AD5I213936,2018-08-25 21:21:10,-1.0,0.1,12.0,23.65
Flower power 947E,PI040298AD5I213936,2018-08-25 21:36:10,-1.0,0.1,11.35,23.56
Flower power 947E,PI040298AD5I213936,2018-08-25 21:51:10,-1.0,0.1,11.74,23.33
Flower power 947E,PI040298AD5I213936,2018-08-25 22:06:10,-1.0,0.1,12.0,23.33
Flower power 947E,PI040298AD5I213936,2018-08-25 22:21:10,-1.0,0.1,11.35,23.0
Flower power 947E,PI040298AD5I213936,2018-08-25 22:36:10,-1.0,0.1,11.74,22.82
Flower power 947E,PI040298AD5I213936,2018-08-25 22:51:10,-1.0,0.1,11.35,22.72
Flower power 947E,PI040298AD5I213936,2018-08-25 23:06:10,-1.0,0.1,11.87,22.54
Flower power 947E,PI040298AD5I213936,2018-08-25 23:21:10,-1.0,0.1,11.61,22.02
Flower power 947E,PI040298AD5I213936,2018-08-25 23:36:10,-1.0,0.1,12.13,21.93
Flower power 947E,PI040298AD5I213936,2018-08-25 23:51:10,-1.0,0.1,12.0,21.55
Flower power 947E,PI040298AD5I213936,2018-08-26 00:06:10,-1.0,0.1,11.87,21.12
Flower power 947E,PI040298AD5I213936,2018-08-26 00:21:10,-1.0,0.1,11.74,21.03
Flower power 947E,PI040298AD5I213936,2018-08-26 00:36:10,-1.0,0.1,11.87,20.55
Flower power 947E,PI040298AD5I213936,2018-08-26 00:51:10,-1.0,0.1,11.74,20.55
Flower power 947E,PI040298AD5I213936,2018-08-26 01:06:10,-1.0,0.1,11.74,19.96
Flower power 947E,PI040298AD5I213936,2018-08-26 01:21:10,-1.0,0.1,11.87,19.53
Flower power 947E,PI040298AD5I213936,2018-08-26 01:36:10,-1.0,0.1,11.74,18.74
Flower power 947E,PI040298AD5I213936,2018-08-26 01:51:10,-1.0,0.1,11.48,18.24
Flower power 947E,PI040298AD5I213936,2018-08-26 02:06:10,-1.0,0.1,11.87,17.98
Flower power 947E,PI040298AD5I213936,2018-08-26 02:21:10,-1.0,0.1,12.0,18.69
Flower power 947E,PI040298AD5I213936,2018-08-26 02:36:10,-1.0,0.1,11.61,19.18
Flower power 947E,PI040298AD5I213936,2018-08-26 02:51:10,-1.0,0.1,12.0,19.08
Flower power 947E,PI040298AD5I213936,2018-08-26 03:06:10,-1.0,0.1,12.0,18.98
Flower power 947E,PI040298AD5I213936,2018-08-26 03:21:10,-1.0,0.1,11.35,18.98
Flower power 947E,PI040298AD5I213936,2018-08-26 03:36:10,-1.0,0.1,11.48,18.74
Flower power 947E,PI040298AD5I213936,2018-08-26 03:51:10,-1.0,0.1,11.61,18.93
Flower power 947E,PI040298AD5I213936,2018-08-26 04:06:10,-1.0,0.1,11.74,19.38
Flower power 947E,PI040298AD5I213936,2018-08-26 04:21:10,-1.0,0.1,12.0,19.13
Flower power 947E,PI040298AD5I213936,2018-08-26 04:36:10,-1.0,0.1,11.48,18.83
Flower power 947E,PI040298AD5I213936,2018-08-26 04:51:10,-1.0,0.1,11.48,17.73
Flower power 947E,PI040298AD5I213936,2018-08-26 05:06:10,-1.0,0.1,11.48,17.22
Flower power 947E,PI040298AD5I213936,2018-08-26 05:21:10,-1.0,0.1,11.35,16.71
Flower power 947E,PI040298AD5I213936,2018-08-26 05:36:10,-1.0,0.1,12.0,17.58
Flower power 947E,PI040298AD5I213936,2018-08-26 05:51:10,-1.0,0.1,11.22,17.38
Flower power 947E,PI040298AD5I213936,2018-08-26 06:06:10,-1.0,0.51,11.74,18.24
Flower power 947E,PI040298AD5I213936,2018-08-26 06:21:05,-1.0,1.39,11.48,18.74
Flower power 947E,PI040298AD5I213936,2018-08-26 06:36:05,-1.0,2.4,12.0,19.23
Flower power 947E,PI040298AD5I213936,2018-08-26 06:51:05,-1.0,3.56,11.74,20.55
Flower power 947E,PI040298AD5I213936,2018-08-26 07:06:05,-1.0,4.4,11.35,21.88
Flower power 947E,PI040298AD5I213936,2018-08-26 07:21:05,-1.0,6.2,11.48,23.14
Flower power 947E,PI040298AD5I213936,2018-08-26 07:36:05,-1.0,7.04,11.74,25.83
Flower power 947E,PI040298AD5I213936,2018-08-26 07:51:05,-1.0,14.68,11.48,27.18
Flower power 947E,PI040298AD5I213936,2018-08-26 08:06:05,-1.0,7.33,12.0,30.23
Flower power 947E,PI040298AD5I213936,2018-08-26 08:21:05,-1.0,24.73,12.0,29.17
Flower power 947E,PI040298AD5I213936,2018-08-26 08:36:05,-1.0,36.32,11.61,35.13
Flower power 947E,PI040298AD5I213936,2018-08-26 08:51:05,-1.0,26.7,11.74,36.55
Flower power 947E,PI040298AD5I213936,2018-08-26 09:06:05,-1.0,67.61,11.74,44.48
Flower power 947E,PI040298AD5I213936,2018-08-26 09:21:05,-1.0,28.84,11.87,44.01
Flower power 947E,PI040298AD5I213936,2018-08-26 09:36:05,-1.0,81.63,11.48,48.43
Flower power 947E,PI040298AD5I213936,2018-08-26 09:51:05,-1.0,89.53,12.0,49.88
Flower power 947E,PI040298AD5I213936,2018-08-26 10:06:05,-1.0,97.33,11.74,52.05
Flower power 947E,PI040298AD5I213936,2018-08-26 10:21:05,-1.0,104.59,12.26,54.33
Flower power 947E,PI040298AD5I213936,2018-08-26 10:36:05,-1.0,109.68,12.13,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 10:51:05,-1.0,115.28,11.87,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 11:06:05,-1.0,117.68,12.13,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 11:21:05,-1.0,121.47,12.39,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 11:36:05,-1.0,122.78,12.13,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 11:51:05,-1.0,124.13,12.39,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 12:06:05,-1.0,125.5,12.39,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 12:21:05,-1.0,126.9,12.65,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 12:36:05,-1.0,126.9,12.26,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 12:51:05,-1.0,125.5,12.26,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 13:06:05,-1.0,124.13,12.52,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 13:21:05,-1.0,122.78,12.52,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 13:36:05,-1.0,120.18,12.52,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 13:51:05,-1.0,118.92,12.78,55.0
Flower power 947E,PI040298AD5I213936,2018-08-26 14:06:05,-1.0,115.28,12.78,53.81
Flower power 947E,PI040298AD5I213936,2018-08-26 14:21:05,-1.0,111.86,12.78,52.86
Flower power 947E,PI040298AD5I213936,2018-08-26 14:36:05,-1.0,106.57,12.91,53.49
Flower power 947E,PI040298AD5I213936,2018-08-26 14:51:05,-1.0,100.83,12.91,51.87
Flower power 947E,PI040298AD5I213936,2018-08-26 15:06:05,-1.0,94.05,12.78,52.8
Flower power 947E,PI040298AD5I213936,2018-08-26 15:21:05,-1.0,86.74,13.04,51.99
Flower power 947E,PI040298AD5I213936,2018-08-26 15:36:05,-1.0,78.73,13.04,50.53
Flower power 947E,PI040298AD5I213936,2018-08-26 15:51:05,-1.0,73.0,12.91,49.24
Flower power 947E,PI040298AD5I213936,2018-08-26 16:06:05,-1.0,67.61,12.91,47.08
Flower power 947E,PI040298AD5I213936,2018-08-26 16:21:05,-1.0,39.72,12.65,41.41
Flower power 947E,PI040298AD5I213936,2018-08-26 16:36:05,-1.0,11.17,12.91,37.33
Flower power 947E,PI040298AD5I213936,2018-08-26 16:51:05,-1.0,17.09,12.91,36.04
Flower power 947E,PI040298AD5I213936,2018-08-26 17:06:05,-1.0,7.79,12.91,32.4
Flower power 947E,PI040298AD5I213936,2018-08-26 17:21:05,-1.0,6.48,12.91,30.98
Flower power 947E,PI040298AD5I213936,2018-08-26 17:36:05,-1.0,5.5,12.78,29.75
Flower power 947E,PI040298AD5I213936,2018-08-26 17:51:05,-1.0,4.58,12.65,28.69
Flower power 947E,PI040298AD5I213936,2018-08-26 18:06:05,-1.0,3.84,12.65,27.93
Flower power 947E,PI040298AD5I213936,2018-08-26 18:21:05,-1.0,3.12,12.52,27.18
Flower power 947E,PI040298AD5I213936,2018-08-26 18:36:05,-1.0,2.31,12.78,26.46
Flower power 947E,PI040298AD5I213936,2018-08-26 18:51:05,-1.0,1.4,12.52,25.56
Flower power 947E,PI040298AD5I213936,2018-08-26 19:06:05,-1.0,0.54,12.65,24.57
Flower power 947E,PI040298AD5I213936,2018-08-26 19:21:05,-1.0,0.1,12.13,23.42
Flower power 947E,PI040298AD5I213936,2018-08-26 19:36:05,-1.0,0.1,12.39,22.44
Flower power 947E,PI040298AD5I213936,2018-08-26 19:51:05,-1.0,0.1,12.39,21.97
Flower power 947E,PI040298AD5I213936,2018-08-26 20:06:05,-1.0,0.1,12.26,21.5
Flower power 947E,PI040298AD5I213936,2018-08-26 20:21:05,-1.0,0.1,12.52,21.41
Flower power 947E,PI040298AD5I213936,2018-08-26 20:36:05,-1.0,0.1,12.13,21.55
Flower power 947E,PI040298AD5I213936,2018-08-26 20:51:05,-1.0,0.1,12.39,21.64
Flower power 947E,PI040298AD5I213936,2018-08-26 21:06:05,-1.0,0.1,12.39,21.31
Flower power 947E,PI040298AD5I213936,2018-08-26 21:21:05,-1.0,0.1,11.87,21.07
Flower power 947E,PI040298AD5I213936,2018-08-26 21:36:05,-1.0,0.1,12.26,21.36
Flower power 947E,PI040298AD5I213936,2018-08-26 21:51:05,-1.0,0.1,12.39,21.26
Flower power 947E,PI040298AD5I213936,2018-08-26 22:06:05,-1.0,0.1,12.26,20.5
Flower power 947E,PI040298AD5I213936,2018-08-26 22:21:05,-1.0,0.1,12.26,20.06
Flower power 947E,PI040298AD5I213936,2018-08-26 22:36:05,-1.0,0.1,12.26,19.72
Flower power 947E,PI040298AD5I213936,2018-08-26 22:51:05,-1.0,0.1,12.26,19.38
Flower power 947E,PI040298AD5I213936,2018-08-26 23:06:05,-1.0,0.1,11.87,18.93
Flower power 947E,PI040298AD5I213936,2018-08-26 23:21:05,-1.0,0.1,12.26,18.59
Flower power 947E,PI040298AD5I213936,2018-08-26 23:36:05,-1.0,0.1,12.13,18.64
Flower power 947E,PI040298AD5I213936,2018-08-26 23:51:05,-1.0,0.1,12.13,18.69
Flower power 947E,PI040298AD5I213936,2018-08-27 00:06:05,-1.0,0.1,11.74,18.69
Flower power 947E,PI040298AD5I213936,2018-08-27 00:21:05,-1.0,0.1,12.13,18.24
Flower power 947E,PI040298AD5I213936,2018-08-27 00:36:05,-1.0,0.1,12.0,18.34
Flower power 947E,PI040298AD5I213936,2018-08-27 00:51:05,-1.0,0.1,12.0,17.88
Flower power 947E,PI040298AD5I213936,2018-08-27 01:06:05,-1.0,0.1,12.0,17.68
Flower power 947E,PI040298AD5I213936,2018-08-27 01:21:05,-1.0,0.1,12.0,17.78
Flower power 947E,PI040298AD5I213936,2018-08-27 01:36:05,-1.0,0.1,12.0,18.13
Flower power 947E,PI040298AD5I213936,2018-08-27 01:51:05,-1.0,0.1,12.0,19.18
Flower power 947E,PI040298AD5I213936,2018-08-27 02:06:05,-1.0,0.1,12.0,19.96
Flower power 947E,PI040298AD5I213936,2018-08-27 02:21:05,-1.0,0.1,11.87,20.26
Flower power 947E,PI040298AD5I213936,2018-08-27 02:36:05,-1.0,0.1,11.61,19.77
Flower power 947E,PI040298AD5I213936,2018-08-27 02:51:05,-1.0,0.1,12.13,19.72
Flower power 947E,PI040298AD5I213936,2018-08-27 03:06:05,-1.0,0.1,12.0,20.45
Flower power 947E,PI040298AD5I213936,2018-08-27 03:21:05,-1.0,0.1,11.48,20.64
Flower power 947E,PI040298AD5I213936,2018-08-27 03:36:05,-1.0,0.1,12.0,20.55
Flower power 947E,PI040298AD5I213936,2018-08-27 03:51:05,-1.0,0.1,12.13,20.64
Flower power 947E,PI040298AD5I213936,2018-08-27 04:06:05,-1.0,0.1,11.87,20.88
Flower power 947E,PI040298AD5I213936,2018-08-27 04:21:05,-1.0,0.1,11.74,20.83
Flower power 947E,PI040298AD5I213936,2018-08-27 04:36:05,-1.0,0.1,11.48,20.98
Flower power 947E,PI040298AD5I213936,2018-08-27 04:51:05,-1.0,0.1,12.13,20.79
Flower power 947E,PI040298AD5I213936,2018-08-27 05:06:05,-1.0,0.1,11.87,20.79
Flower power 947E,PI040298AD5I213936,2018-08-27 05:21:05,-1.0,0.1,11.74,20.59
Flower power 947E,PI040298AD5I213936,2018-08-27 05:36:05,-1.0,0.1,12.0,21.26
Flower power 947E,PI040298AD5I213936,2018-08-27 05:51:05,-1.0,0.1,11.87,20.55
Flower power 947E,PI040298AD5I213936,2018-08-27 06:06:05,-1.0,0.22,11.48,20.64
Flower power 947E,PI040298AD5I213936,2018-08-27 06:21:05,-1.0,0.46,11.87,21.12
Flower power 947E,PI040298AD5I213936,2018-08-27 06:36:05,-1.0,0.65,11.74,21.31
Flower power 947E,PI040298AD5I213936,2018-08-27 06:51:05,-1.0,0.39,11.87,21.74
Flower power 947E,PI040298AD5I213936,2018-08-27 07:06:05,-1.0,2.86,12.0,21.79
Flower power 947E,PI040298AD5I213936,2018-08-27 07:21:05,-1.0,9.59,11.74,23.97
Flower power 947E,PI040298AD5I213936,2018-08-27 07:36:05,-1.0,6.76,11.87,24.89
Flower power 947E,PI040298AD5I213936,2018-08-27 07:51:05,-1.0,1.88,11.87,25.38
Flower power 947E,PI040298AD5I213936,2018-08-27 08:06:05,-1.0,1.26,11.74,24.2
Flower power 947E,PI040298AD5I213936,2018-08-27 08:21:05,-1.0,10.64,11.87,24.84
Flower power 947E,PI040298AD5I213936,2018-08-27 08:36:05,-1.0,8.59,11.87,25.11
Flower power 947E,PI040298AD5I213936,2018-08-27 08:51:05,-1.0,49.22,12.13,33.65
Flower power 947E,PI040298AD5I213936,2018-08-27 09:06:05,-1.0,16.78,11.87,31.12
Flower power 947E,PI040298AD5I213936,2018-08-27 09:21:05,-1.0,9.58,11.74,34.77
Flower power 947E,PI040298AD5I213936,2018-08-27 09:36:05,-1.0,74.99,11.74,44.43
Flower power 947E,PI040298AD5I213936,2018-08-27 09:51:05,-1.0,82.24,12.0,42.72
