NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 95B0,PI040298AD5I211401,2018-08-25 19:09:25,-1.0,0.44,12.75,25.97
Flower power 95B0,PI040298AD5I211401,2018-08-25 19:24:25,-1.0,0.1,13.13,24.98
Flower power 95B0,PI040298AD5I211401,2018-08-25 19:39:25,-1.0,0.1,12.75,24.75
Flower power 95B0,PI040298AD5I211401,2018-08-25 19:54:25,-1.0,0.1,13.13,24.48
Flower power 95B0,PI040298AD5I211401,2018-08-25 20:09:25,-1.0,0.1,13.13,24.29
Flower power 95B0,PI040298AD5I211401,2018-08-25 20:24:25,-1.0,0.1,13.0,24.25
Flower power 95B0,PI040298AD5I211401,2018-08-25 20:39:25,-1.0,0.1,13.5,24.29
Flower power 95B0,PI040298AD5I211401,2018-08-25 20:54:25,-1.0,0.1,13.13,23.93
Flower power 95B0,PI040298AD5I211401,2018-08-25 21:09:25,-1.0,0.1,13.38,23.6
Flower power 95B0,PI040298AD5I211401,2018-08-25 21:24:25,-1.0,0.1,13.38,23.74
Flower power 95B0,PI040298AD5I211401,2018-08-25 21:39:25,-1.0,0.1,13.63,23.42
Flower power 95B0,PI040298AD5I211401,2018-08-25 21:54:25,-1.0,0.1,13.25,23.51
Flower power 95B0,PI040298AD5I211401,2018-08-25 22:09:25,-1.0,0.1,13.63,23.37
Flower power 95B0,PI040298AD5I211401,2018-08-25 22:24:25,-1.0,0.1,13.63,22.96
Flower power 95B0,PI040298AD5I211401,2018-08-25 22:39:25,-1.0,0.1,13.25,22.86
Flower power 95B0,PI040298AD5I211401,2018-08-25 22:54:25,-1.0,0.1,13.63,22.72
Flower power 95B0,PI040298AD5I211401,2018-08-25 23:09:25,-1.0,0.1,13.5,22.54
Flower power 95B0,PI040298AD5I211401,2018-08-25 23:24:25,-1.0,0.1,13.38,22.12
Flower power 95B0,PI040298AD5I211401,2018-08-25 23:39:25,-1.0,0.1,13.38,22.12
Flower power 95B0,PI040298AD5I211401,2018-08-25 23:54:25,-1.0,0.1,13.13,21.41
Flower power 95B0,PI040298AD5I211401,2018-08-26 00:09:25,-1.0,0.1,13.5,21.03
Flower power 95B0,PI040298AD5I211401,2018-08-26 00:24:25,-1.0,0.1,13.63,20.79
Flower power 95B0,PI040298AD5I211401,2018-08-26 00:39:25,-1.0,0.1,13.38,20.3
Flower power 95B0,PI040298AD5I211401,2018-08-26 00:54:25,-1.0,0.1,13.63,20.35
Flower power 95B0,PI040298AD5I211401,2018-08-26 01:09:25,-1.0,0.1,13.38,20.3
Flower power 95B0,PI040298AD5I211401,2018-08-26 01:24:25,-1.0,0.1,13.63,20.5
Flower power 95B0,PI040298AD5I211401,2018-08-26 01:39:25,-1.0,0.1,13.63,19.18
Flower power 95B0,PI040298AD5I211401,2018-08-26 01:54:25,-1.0,0.1,13.63,19.03
Flower power 95B0,PI040298AD5I211401,2018-08-26 02:09:25,-1.0,0.1,13.38,19.33
Flower power 95B0,PI040298AD5I211401,2018-08-26 02:24:25,-1.0,0.1,13.63,19.62
Flower power 95B0,PI040298AD5I211401,2018-08-26 02:39:25,-1.0,0.1,13.5,19.53
Flower power 95B0,PI040298AD5I211401,2018-08-26 02:54:25,-1.0,0.1,13.63,19.33
Flower power 95B0,PI040298AD5I211401,2018-08-26 03:09:25,-1.0,0.1,13.63,19.13
Flower power 95B0,PI040298AD5I211401,2018-08-26 03:24:25,-1.0,0.1,13.38,18.98
Flower power 95B0,PI040298AD5I211401,2018-08-26 03:39:25,-1.0,0.1,13.5,18.88
Flower power 95B0,PI040298AD5I211401,2018-08-26 03:54:25,-1.0,0.1,13.63,18.88
Flower power 95B0,PI040298AD5I211401,2018-08-26 04:09:25,-1.0,0.1,13.88,19.13
Flower power 95B0,PI040298AD5I211401,2018-08-26 04:24:25,-1.0,0.1,13.25,18.83
Flower power 95B0,PI040298AD5I211401,2018-08-26 04:39:25,-1.0,0.1,13.38,18.59
Flower power 95B0,PI040298AD5I211401,2018-08-26 04:54:25,-1.0,0.1,13.88,17.68
Flower power 95B0,PI040298AD5I211401,2018-08-26 05:09:25,-1.0,0.1,13.88,17.83
Flower power 95B0,PI040298AD5I211401,2018-08-26 05:24:25,-1.0,0.1,13.88,18.13
Flower power 95B0,PI040298AD5I211401,2018-08-26 05:39:25,-1.0,0.1,13.63,18.54
Flower power 95B0,PI040298AD5I211401,2018-08-26 05:54:25,-1.0,0.12,13.63,18.69
Flower power 95B0,PI040298AD5I211401,2018-08-26 06:09:25,-1.0,0.66,13.63,18.78
Flower power 95B0,PI040298AD5I211401,2018-08-26 06:24:24,-1.0,1.58,13.63,19.08
Flower power 95B0,PI040298AD5I211401,2018-08-26 06:39:24,-1.0,2.54,13.5,19.72
Flower power 95B0,PI040298AD5I211401,2018-08-26 06:54:24,-1.0,3.63,13.76,20.88
Flower power 95B0,PI040298AD5I211401,2018-08-26 07:09:24,-1.0,4.11,13.25,21.64
Flower power 95B0,PI040298AD5I211401,2018-08-26 07:24:24,-1.0,4.95,13.38,22.63
Flower power 95B0,PI040298AD5I211401,2018-08-26 07:39:24,-1.0,5.46,13.63,24.16
Flower power 95B0,PI040298AD5I211401,2018-08-26 07:54:24,-1.0,6.22,13.88,25.34
Flower power 95B0,PI040298AD5I211401,2018-08-26 08:09:24,-1.0,7.06,13.5,26.82
Flower power 95B0,PI040298AD5I211401,2018-08-26 08:24:24,-1.0,10.12,13.63,28.6
Flower power 95B0,PI040298AD5I211401,2018-08-26 08:39:24,-1.0,11.53,13.5,29.22
Flower power 95B0,PI040298AD5I211401,2018-08-26 08:54:24,-1.0,16.29,13.5,31.56
Flower power 95B0,PI040298AD5I211401,2018-08-26 09:09:24,-1.0,42.62,13.76,34.05
Flower power 95B0,PI040298AD5I211401,2018-08-26 09:24:24,-1.0,85.96,13.63,40.09
Flower power 95B0,PI040298AD5I211401,2018-08-26 09:39:18,-1.0,93.71,13.76,44.01
Flower power 95B0,PI040298AD5I211401,2018-08-26 09:54:18,-1.0,99.99,13.38,45.82
Flower power 95B0,PI040298AD5I211401,2018-08-26 10:09:18,-1.0,105.0,13.88,47.08
Flower power 95B0,PI040298AD5I211401,2018-08-26 10:24:18,-1.0,109.37,13.88,49.24
Flower power 95B0,PI040298AD5I211401,2018-08-26 10:39:18,-1.0,112.89,13.88,52.24
Flower power 95B0,PI040298AD5I211401,2018-08-26 10:54:18,-1.0,117.94,14.01,53.37
Flower power 95B0,PI040298AD5I211401,2018-08-26 11:09:18,-1.0,120.63,14.01,54.33
Flower power 95B0,PI040298AD5I211401,2018-08-26 11:24:18,-1.0,124.9,13.76,55.0
Flower power 95B0,PI040298AD5I211401,2018-08-26 11:39:18,-1.0,114.11,14.01,53.81
Flower power 95B0,PI040298AD5I211401,2018-08-26 11:54:18,-1.0,108.24,14.13,53.81
Flower power 95B0,PI040298AD5I211401,2018-08-26 12:09:18,-1.0,127.91,13.76,55.0
Flower power 95B0,PI040298AD5I211401,2018-08-26 12:24:18,-1.0,129.47,14.13,55.0
Flower power 95B0,PI040298AD5I211401,2018-08-26 12:39:18,-1.0,127.91,14.13,55.0
Flower power 95B0,PI040298AD5I211401,2018-08-26 12:54:18,-1.0,127.91,14.26,55.0
Flower power 95B0,PI040298AD5I211401,2018-08-26 13:09:18,-1.0,124.9,14.26,55.0
