NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 95F5,PI040298AD5I211673,2018-08-26 10:09:47,-1.0,102.19,7.97,50.0
Flower power 95F5,PI040298AD5I211673,2018-08-26 10:24:47,-1.0,108.22,8.1,52.99
Flower power 95F5,PI040298AD5I211673,2018-08-26 10:39:47,-1.0,112.64,8.1,53.18
Flower power 95F5,PI040298AD5I211673,2018-08-26 10:54:47,-1.0,114.98,8.48,53.37
Flower power 95F5,PI040298AD5I211673,2018-08-26 11:09:47,-1.0,118.68,8.23,54.2
Flower power 95F5,PI040298AD5I211673,2018-08-26 11:24:47,-1.0,122.62,8.61,54.78
Flower power 95F5,PI040298AD5I211673,2018-08-26 11:39:47,-1.0,123.99,8.48,55.0
Flower power 95F5,PI040298AD5I211673,2018-08-26 11:54:47,-1.0,126.82,8.87,54.39
Flower power 95F5,PI040298AD5I211673,2018-08-26 12:09:47,-1.0,128.28,8.74,54.65
Flower power 95F5,PI040298AD5I211673,2018-08-26 12:24:47,-1.0,129.78,9.26,54.14
Flower power 95F5,PI040298AD5I211673,2018-08-26 12:39:47,-1.0,131.31,9.0,54.46
Flower power 95F5,PI040298AD5I211673,2018-08-26 12:54:47,-1.0,131.31,9.0,54.33
Flower power 95F5,PI040298AD5I211673,2018-08-26 13:09:47,-1.0,131.31,9.26,53.81
Flower power 95F5,PI040298AD5I211673,2018-08-26 13:24:47,-1.0,129.78,9.0,53.56
Flower power 95F5,PI040298AD5I211673,2018-08-26 13:39:47,-1.0,128.28,9.39,52.93
Flower power 95F5,PI040298AD5I211673,2018-08-26 13:54:47,-1.0,125.39,9.52,50.3
Flower power 95F5,PI040298AD5I211673,2018-08-26 14:09:47,-1.0,122.62,9.26,49.59
Flower power 95F5,PI040298AD5I211673,2018-08-26 14:24:47,-1.0,118.68,9.39,49.35
Flower power 95F5,PI040298AD5I211673,2018-08-26 14:39:47,-1.0,113.8,9.65,48.37
Flower power 95F5,PI040298AD5I211673,2018-08-26 14:54:47,-1.0,107.16,9.39,49.7
Flower power 95F5,PI040298AD5I211673,2018-08-26 15:09:47,-1.0,101.24,9.39,49.35
Flower power 95F5,PI040298AD5I211673,2018-08-26 15:24:47,-1.0,94.27,9.65,47.97
Flower power 95F5,PI040298AD5I211673,2018-08-26 15:39:47,-1.0,88.18,9.39,46.03
Flower power 95F5,PI040298AD5I211673,2018-08-26 15:54:47,-1.0,16.0,9.65,37.85
Flower power 95F5,PI040298AD5I211673,2018-08-26 16:09:47,-1.0,55.7,9.52,34.91
Flower power 95F5,PI040298AD5I211673,2018-08-26 16:24:47,-1.0,21.03,9.65,33.02
Flower power 95F5,PI040298AD5I211673,2018-08-26 16:39:47,-1.0,10.21,9.52,30.72
Flower power 95F5,PI040298AD5I211673,2018-08-26 16:54:47,-1.0,9.44,9.26,29.66
Flower power 95F5,PI040298AD5I211673,2018-08-26 17:09:47,-1.0,8.72,9.52,28.91
Flower power 95F5,PI040298AD5I211673,2018-08-26 17:24:47,-1.0,7.97,9.65,28.24
Flower power 95F5,PI040298AD5I211673,2018-08-26 17:39:47,-1.0,7.26,9.39,27.84
Flower power 95F5,PI040298AD5I211673,2018-08-26 17:54:47,-1.0,6.56,9.65,27.27
Flower power 95F5,PI040298AD5I211673,2018-08-26 18:09:47,-1.0,5.63,9.39,26.69
Flower power 95F5,PI040298AD5I211673,2018-08-26 18:24:47,-1.0,4.63,9.52,25.92
Flower power 95F5,PI040298AD5I211673,2018-08-26 18:39:47,-1.0,3.37,9.78,25.07
