NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power 9FB7,PI040298AD5I211670,2018-08-25 19:05:32,-1.0,0.45,7.78,25.65
Flower power 9FB7,PI040298AD5I211670,2018-08-25 19:20:32,-1.0,0.1,8.28,24.79
Flower power 9FB7,PI040298AD5I211670,2018-08-25 19:35:32,-1.0,0.1,8.15,24.48
Flower power 9FB7,PI040298AD5I211670,2018-08-25 19:50:32,-1.0,0.1,7.91,24.16
Flower power 9FB7,PI040298AD5I211670,2018-08-25 20:05:32,-1.0,0.1,8.4,23.83
Flower power 9FB7,PI040298AD5I211670,2018-08-25 20:20:32,-1.0,0.1,8.4,23.88
Flower power 9FB7,PI040298AD5I211670,2018-08-25 20:35:32,-1.0,0.1,8.28,23.83
Flower power 9FB7,PI040298AD5I211670,2018-08-25 20:50:32,-1.0,0.1,8.77,23.7
Flower power 9FB7,PI040298AD5I211670,2018-08-25 21:05:32,-1.0,0.1,8.65,23.42
Flower power 9FB7,PI040298AD5I211670,2018-08-25 21:20:32,-1.0,0.1,8.52,23.33
Flower power 9FB7,PI040298AD5I211670,2018-08-25 21:35:32,-1.0,0.1,8.52,23.14
Flower power 9FB7,PI040298AD5I211670,2018-08-25 21:50:32,-1.0,0.1,8.52,23.19
Flower power 9FB7,PI040298AD5I211670,2018-08-25 22:05:32,-1.0,0.1,8.89,23.24
Flower power 9FB7,PI040298AD5I211670,2018-08-25 22:20:32,-1.0,0.1,8.77,22.86
Flower power 9FB7,PI040298AD5I211670,2018-08-25 22:35:32,-1.0,0.1,9.02,22.68
Flower power 9FB7,PI040298AD5I211670,2018-08-25 22:50:32,-1.0,0.1,8.89,22.54
Flower power 9FB7,PI040298AD5I211670,2018-08-25 23:05:32,-1.0,0.1,9.02,22.3
Flower power 9FB7,PI040298AD5I211670,2018-08-25 23:20:32,-1.0,0.1,8.77,21.97
Flower power 9FB7,PI040298AD5I211670,2018-08-25 23:35:32,-1.0,0.1,9.02,22.02
Flower power 9FB7,PI040298AD5I211670,2018-08-25 23:50:32,-1.0,0.1,9.02,21.5
Flower power 9FB7,PI040298AD5I211670,2018-08-26 00:05:32,-1.0,0.1,9.02,21.03
