NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power C142,PI040298AD5I213827,2018-08-25 18:09:52,-1.0,7.66,10.2,29.22
Flower power C142,PI040298AD5I213827,2018-08-25 18:24:52,-1.0,5.93,10.33,27.8
Flower power C142,PI040298AD5I213827,2018-08-25 18:39:52,-1.0,3.99,10.2,26.6
Flower power C142,PI040298AD5I213827,2018-08-25 18:54:52,-1.0,2.03,10.45,25.38
Flower power C142,PI040298AD5I213827,2018-08-25 19:09:52,-1.0,0.59,10.45,24.61
Flower power C142,PI040298AD5I213827,2018-08-25 19:24:52,-1.0,0.1,10.33,23.51
Flower power C142,PI040298AD5I213827,2018-08-25 19:39:52,-1.0,0.1,10.7,23.24
Flower power C142,PI040298AD5I213827,2018-08-25 19:54:52,-1.0,0.1,10.82,23.24
Flower power C142,PI040298AD5I213827,2018-08-25 20:09:52,-1.0,0.1,10.45,22.86
Flower power C142,PI040298AD5I213827,2018-08-25 20:24:52,-1.0,0.1,10.45,22.91
Flower power C142,PI040298AD5I213827,2018-08-25 20:39:52,-1.0,0.1,10.95,22.72
Flower power C142,PI040298AD5I213827,2018-08-25 20:54:52,-1.0,0.1,10.57,22.63
Flower power C142,PI040298AD5I213827,2018-08-25 21:09:52,-1.0,0.1,10.82,21.88
Flower power C142,PI040298AD5I213827,2018-08-25 21:24:52,-1.0,0.1,10.57,21.93
Flower power C142,PI040298AD5I213827,2018-08-25 21:39:52,-1.0,0.1,10.7,21.6
Flower power C142,PI040298AD5I213827,2018-08-25 21:54:52,-1.0,0.1,10.45,21.79
Flower power C142,PI040298AD5I213827,2018-08-25 22:09:52,-1.0,0.1,10.7,21.5
Flower power C142,PI040298AD5I213827,2018-08-25 22:24:52,-1.0,0.1,10.45,20.98
Flower power C142,PI040298AD5I213827,2018-08-25 22:39:52,-1.0,0.1,10.82,20.93
Flower power C142,PI040298AD5I213827,2018-08-25 22:54:52,-1.0,0.1,10.82,20.88
Flower power C142,PI040298AD5I213827,2018-08-25 23:09:52,-1.0,0.1,10.7,20.79
Flower power C142,PI040298AD5I213827,2018-08-25 23:24:52,-1.0,0.1,10.7,20.35
Flower power C142,PI040298AD5I213827,2018-08-25 23:39:52,-1.0,0.1,10.7,20.21
Flower power C142,PI040298AD5I213827,2018-08-25 23:54:52,-1.0,0.1,10.82,19.82
Flower power C142,PI040298AD5I213827,2018-08-26 00:09:52,-1.0,0.1,10.33,19.57
Flower power C142,PI040298AD5I213827,2018-08-26 00:24:52,-1.0,0.1,10.82,19.48
Flower power C142,PI040298AD5I213827,2018-08-26 00:39:52,-1.0,0.1,10.57,19.13
Flower power C142,PI040298AD5I213827,2018-08-26 00:54:52,-1.0,0.1,10.7,18.93
Flower power C142,PI040298AD5I213827,2018-08-26 01:09:52,-1.0,0.1,10.45,18.83
Flower power C142,PI040298AD5I213827,2018-08-26 01:24:52,-1.0,0.1,10.45,18.44
Flower power C142,PI040298AD5I213827,2018-08-26 01:39:52,-1.0,0.1,10.33,18.24
Flower power C142,PI040298AD5I213827,2018-08-26 01:54:52,-1.0,0.1,10.33,18.19
Flower power C142,PI040298AD5I213827,2018-08-26 02:09:52,-1.0,0.1,10.7,17.73
