NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power CF87,PI040298AD5G203720,2018-08-26 16:02:31,-1.0,7.11,11.06,31.16
Flower power CF87,PI040298AD5G203720,2018-08-26 16:17:31,-1.0,7.21,10.93,30.85
Flower power CF87,PI040298AD5G203720,2018-08-26 16:32:31,-1.0,7.07,11.06,30.59
Flower power CF87,PI040298AD5G203720,2018-08-26 16:47:31,-1.0,7.08,11.19,29.83
Flower power CF87,PI040298AD5G203720,2018-08-26 17:02:31,-1.0,7.05,11.19,29.48
Flower power CF87,PI040298AD5G203720,2018-08-26 17:17:31,-1.0,6.73,11.06,29.53
Flower power CF87,PI040298AD5G203720,2018-08-26 17:32:31,-1.0,6.57,11.46,29.26
Flower power CF87,PI040298AD5G203720,2018-08-26 17:47:31,-1.0,6.16,11.19,28.73
Flower power CF87,PI040298AD5G203720,2018-08-26 18:02:31,-1.0,5.58,11.59,28.51
Flower power CF87,PI040298AD5G203720,2018-08-26 18:17:31,-1.0,5.04,11.72,28.46
Flower power CF87,PI040298AD5G203720,2018-08-26 18:32:31,-1.0,4.28,11.59,27.58
Flower power CF87,PI040298AD5G203720,2018-08-26 18:47:31,-1.0,2.39,11.46,26.86
Flower power CF87,PI040298AD5G203720,2018-08-26 19:02:31,-1.0,0.89,11.19,25.56
Flower power CF87,PI040298AD5G203720,2018-08-26 19:17:31,-1.0,0.1,11.85,24.2
Flower power CF87,PI040298AD5G203720,2018-08-26 19:32:31,-1.0,0.1,11.59,23.1
Flower power CF87,PI040298AD5G203720,2018-08-26 19:47:31,-1.0,0.1,11.19,22.44
Flower power CF87,PI040298AD5G203720,2018-08-26 20:02:31,-1.0,0.1,11.19,22.07
Flower power CF87,PI040298AD5G203720,2018-08-26 20:17:31,-1.0,0.1,11.85,22.77
Flower power CF87,PI040298AD5G203720,2018-08-26 20:32:31,-1.0,0.1,11.99,23.28
Flower power CF87,PI040298AD5G203720,2018-08-26 20:47:31,-1.0,0.1,11.85,23.93
Flower power CF87,PI040298AD5G203720,2018-08-26 21:02:31,-1.0,0.1,11.99,23.1
Flower power CF87,PI040298AD5G203720,2018-08-26 21:17:31,-1.0,0.1,11.59,22.35
Flower power CF87,PI040298AD5G203720,2018-08-26 21:32:31,-1.0,0.1,11.99,22.4
Flower power CF87,PI040298AD5G203720,2018-08-26 21:47:31,-1.0,0.1,11.59,22.07
Flower power CF87,PI040298AD5G203720,2018-08-26 22:02:31,-1.0,0.1,11.32,21.26
Flower power CF87,PI040298AD5G203720,2018-08-26 22:17:31,-1.0,0.1,11.59,20.5
Flower power CF87,PI040298AD5G203720,2018-08-26 22:32:31,-1.0,0.1,11.85,20.4
Flower power CF87,PI040298AD5G203720,2018-08-26 22:47:31,-1.0,0.1,12.12,20.45
Flower power CF87,PI040298AD5G203720,2018-08-26 23:02:31,-1.0,0.1,11.85,19.57
Flower power CF87,PI040298AD5G203720,2018-08-26 23:17:31,-1.0,0.1,11.99,19.38
Flower power CF87,PI040298AD5G203720,2018-08-26 23:32:31,-1.0,0.1,11.72,19.23
Flower power CF87,PI040298AD5G203720,2018-08-26 23:47:31,-1.0,0.1,11.85,20.01
Flower power CF87,PI040298AD5G203720,2018-08-27 00:02:31,-1.0,0.1,11.85,19.38
Flower power CF87,PI040298AD5G203720,2018-08-27 00:17:31,-1.0,0.1,11.59,18.88
Flower power CF87,PI040298AD5G203720,2018-08-27 00:32:31,-1.0,0.1,12.12,19.13
Flower power CF87,PI040298AD5G203720,2018-08-27 00:47:31,-1.0,0.1,11.72,18.98
Flower power CF87,PI040298AD5G203720,2018-08-27 01:02:31,-1.0,0.1,11.85,18.93
Flower power CF87,PI040298AD5G203720,2018-08-27 01:17:31,-1.0,0.1,11.59,18.93
Flower power CF87,PI040298AD5G203720,2018-08-27 01:32:31,-1.0,0.1,11.72,18.78
Flower power CF87,PI040298AD5G203720,2018-08-27 01:47:31,-1.0,0.1,12.12,19.23
Flower power CF87,PI040298AD5G203720,2018-08-27 02:02:31,-1.0,0.1,12.12,18.93
Flower power CF87,PI040298AD5G203720,2018-08-27 02:17:31,-1.0,0.1,11.99,19.13
Flower power CF87,PI040298AD5G203720,2018-08-27 02:32:31,-1.0,0.1,11.85,19.38
Flower power CF87,PI040298AD5G203720,2018-08-27 02:47:31,-1.0,0.1,11.85,19.38
Flower power CF87,PI040298AD5G203720,2018-08-27 03:02:31,-1.0,0.1,11.85,19.38
Flower power CF87,PI040298AD5G203720,2018-08-27 03:17:31,-1.0,0.1,11.46,19.87
Flower power CF87,PI040298AD5G203720,2018-08-27 03:32:31,-1.0,0.1,11.72,19.87
Flower power CF87,PI040298AD5G203720,2018-08-27 03:47:31,-1.0,0.1,11.85,19.87
Flower power CF87,PI040298AD5G203720,2018-08-27 04:02:31,-1.0,0.1,11.99,20.11
Flower power CF87,PI040298AD5G203720,2018-08-27 04:17:31,-1.0,0.1,12.25,19.48
Flower power CF87,PI040298AD5G203720,2018-08-27 04:32:31,-1.0,0.1,12.12,19.87
Flower power CF87,PI040298AD5G203720,2018-08-27 04:47:31,-1.0,0.1,11.59,20.06
Flower power CF87,PI040298AD5G203720,2018-08-27 05:02:31,-1.0,0.1,11.99,20.74
