NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power FD71,PI040298AD5I213355,2018-08-21 16:53:51,-1.0,3.85,12.12,31.96
Flower power FD71,PI040298AD5I213355,2018-08-21 17:08:44,-1.0,1.95,12.65,30.72
Flower power FD71,PI040298AD5I213355,2018-08-21 17:23:44,-1.0,1.76,12.26,30.28
Flower power FD71,PI040298AD5I213355,2018-08-21 17:38:44,-1.0,1.67,12.39,30.14
Flower power FD71,PI040298AD5I213355,2018-08-21 17:53:44,-1.0,1.26,12.52,29.75
Flower power FD71,PI040298AD5I213355,2018-08-21 18:08:44,-1.0,1.14,12.52,29.35
Flower power FD71,PI040298AD5I213355,2018-08-21 18:23:44,-1.0,0.82,12.39,29.26
Flower power FD71,PI040298AD5I213355,2018-08-21 18:38:44,-1.0,0.56,12.52,28.82
Flower power FD71,PI040298AD5I213355,2018-08-21 18:53:44,-1.0,0.3,12.52,28.11
Flower power FD71,PI040298AD5I213355,2018-08-21 19:08:44,-1.0,0.12,12.52,27.18
Flower power FD71,PI040298AD5I213355,2018-08-21 19:23:44,-1.0,0.1,12.91,26.33
Flower power FD71,PI040298AD5I213355,2018-08-21 19:38:44,-1.0,0.1,12.91,25.88
Flower power FD71,PI040298AD5I213355,2018-08-21 19:53:44,-1.0,0.1,12.65,25.61
Flower power FD71,PI040298AD5I213355,2018-08-21 20:08:44,-1.0,0.1,12.91,25.2
Flower power FD71,PI040298AD5I213355,2018-08-21 20:23:44,-1.0,0.1,12.78,24.98
Flower power FD71,PI040298AD5I213355,2018-08-21 20:38:44,-1.0,0.1,13.05,24.75
Flower power FD71,PI040298AD5I213355,2018-08-21 20:53:44,-1.0,0.1,12.52,24.52
Flower power FD71,PI040298AD5I213355,2018-08-21 21:08:44,-1.0,0.1,12.39,24.34
Flower power FD71,PI040298AD5I213355,2018-08-21 21:23:44,-1.0,0.1,12.78,24.38
Flower power FD71,PI040298AD5I213355,2018-08-21 21:38:44,-1.0,0.1,12.65,24.11
Flower power FD71,PI040298AD5I213355,2018-08-21 21:53:44,-1.0,0.1,12.39,24.16
Flower power FD71,PI040298AD5I213355,2018-08-21 22:08:44,-1.0,0.1,12.65,24.11
Flower power FD71,PI040298AD5I213355,2018-08-21 22:23:44,-1.0,0.1,12.65,24.11
Flower power FD71,PI040298AD5I213355,2018-08-21 22:38:44,-1.0,0.1,12.78,24.06
Flower power FD71,PI040298AD5I213355,2018-08-21 22:53:44,-1.0,0.1,12.52,23.6
Flower power FD71,PI040298AD5I213355,2018-08-21 23:08:44,-1.0,0.1,13.05,23.42
Flower power FD71,PI040298AD5I213355,2018-08-21 23:23:44,-1.0,0.1,12.52,23.28
Flower power FD71,PI040298AD5I213355,2018-08-21 23:38:44,-1.0,0.1,12.91,23.28
Flower power FD71,PI040298AD5I213355,2018-08-21 23:53:44,-1.0,0.1,13.05,23.28
Flower power FD71,PI040298AD5I213355,2018-08-22 00:08:44,-1.0,0.1,13.05,23.33
Flower power FD71,PI040298AD5I213355,2018-08-22 00:23:44,-1.0,0.1,12.78,23.24
Flower power FD71,PI040298AD5I213355,2018-08-22 00:38:44,-1.0,0.1,12.78,23.33
Flower power FD71,PI040298AD5I213355,2018-08-22 00:53:44,-1.0,0.1,12.91,22.86
Flower power FD71,PI040298AD5I213355,2018-08-22 01:08:44,-1.0,0.1,12.91,22.12
Flower power FD71,PI040298AD5I213355,2018-08-22 01:23:44,-1.0,0.1,12.52,21.41
Flower power FD71,PI040298AD5I213355,2018-08-22 01:38:44,-1.0,0.1,13.05,21.22
Flower power FD71,PI040298AD5I213355,2018-08-22 01:53:44,-1.0,0.1,12.65,20.74
Flower power FD71,PI040298AD5I213355,2018-08-22 02:08:44,-1.0,0.1,13.05,20.88
Flower power FD71,PI040298AD5I213355,2018-08-22 02:23:44,-1.0,0.1,12.91,20.5
