NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power FF63,PI040298AD5I212585,2018-08-28 10:58:03,-1.0,143.99,10.71,45.22
Flower power FF63,PI040298AD5I212585,2018-08-28 11:13:03,-1.0,145.9,10.71,47.08
Flower power FF63,PI040298AD5I212585,2018-08-28 11:28:03,-1.0,145.9,10.57,47.36
Flower power FF63,PI040298AD5I212585,2018-08-28 11:43:03,-1.0,147.86,10.84,49.24
Flower power FF63,PI040298AD5I212585,2018-08-28 11:58:03,-1.0,149.87,10.71,49.47
Flower power FF63,PI040298AD5I212585,2018-08-28 12:13:03,-1.0,149.87,11.1,50.36
Flower power FF63,PI040298AD5I212585,2018-08-28 12:28:03,-1.0,149.87,10.44,52.67
Flower power FF63,PI040298AD5I212585,2018-08-28 12:43:03,-1.0,149.87,10.84,54.92
Flower power FF63,PI040298AD5I212585,2018-08-28 12:58:03,-1.0,149.87,10.97,52.18
Flower power FF63,PI040298AD5I212585,2018-08-28 13:13:03,-1.0,147.86,10.84,54.07
Flower power FF63,PI040298AD5I212585,2018-08-28 13:28:03,-1.0,143.99,10.84,54.26
Flower power FF63,PI040298AD5I212585,2018-08-28 13:43:03,-1.0,142.13,10.57,54.2
Flower power FF63,PI040298AD5I212585,2018-08-28 13:58:03,-1.0,138.54,10.97,53.24
Flower power FF63,PI040298AD5I212585,2018-08-28 14:13:03,-1.0,133.48,10.97,54.46
Flower power FF63,PI040298AD5I212585,2018-08-28 14:28:03,-1.0,120.25,10.84,51.5
Flower power FF63,PI040298AD5I212585,2018-08-28 14:43:03,-1.0,121.59,10.84,51.26
Flower power FF63,PI040298AD5I212585,2018-08-28 14:58:03,-1.0,115.15,10.84,51.14
Flower power FF63,PI040298AD5I212585,2018-08-28 15:13:03,-1.0,107.18,10.57,50.0
Flower power FF63,PI040298AD5I212585,2018-08-28 15:28:03,-1.0,98.38,10.57,50.47
Flower power FF63,PI040298AD5I212585,2018-08-28 15:43:03,-1.0,89.37,10.71,49.82
Flower power FF63,PI040298AD5I212585,2018-08-28 15:58:03,-1.0,81.21,10.84,47.64
Flower power FF63,PI040298AD5I212585,2018-08-28 16:13:03,-1.0,74.38,10.97,45.55
Flower power FF63,PI040298AD5I212585,2018-08-28 16:28:03,-1.0,70.41,11.1,41.86
Flower power FF63,PI040298AD5I212585,2018-08-28 16:43:03,-1.0,63.22,11.1,38.98
Flower power FF63,PI040298AD5I212585,2018-08-28 16:58:03,-1.0,21.29,11.1,34.23
Flower power FF63,PI040298AD5I212585,2018-08-28 17:13:03,-1.0,11.11,10.71,30.06
Flower power FF63,PI040298AD5I212585,2018-08-28 17:28:03,-1.0,9.21,11.1,28.24
Flower power FF63,PI040298AD5I212585,2018-08-28 17:43:03,-1.0,7.41,10.97,26.55
Flower power FF63,PI040298AD5I212585,2018-08-28 17:58:03,-1.0,5.76,11.1,25.83
Flower power FF63,PI040298AD5I212585,2018-08-28 18:13:03,-1.0,4.36,11.1,25.11
Flower power FF63,PI040298AD5I212585,2018-08-28 18:28:03,-1.0,3.14,11.1,24.06
Flower power FF63,PI040298AD5I212585,2018-08-28 18:43:03,-1.0,1.95,11.23,23.37
Flower power FF63,PI040298AD5I212585,2018-08-28 18:58:03,-1.0,0.85,10.71,22.77
Flower power FF63,PI040298AD5I212585,2018-08-28 19:13:03,-1.0,0.18,11.1,22.26
Flower power FF63,PI040298AD5I212585,2018-08-28 19:28:03,-1.0,0.1,11.23,21.88
Flower power FF63,PI040298AD5I212585,2018-08-28 19:43:03,-1.0,0.1,10.57,21.64
Flower power FF63,PI040298AD5I212585,2018-08-28 19:58:03,-1.0,0.1,10.57,21.64
Flower power FF63,PI040298AD5I212585,2018-08-28 20:13:03,-1.0,0.1,11.23,21.45
Flower power FF63,PI040298AD5I212585,2018-08-28 20:28:03,-1.0,0.1,10.97,21.36
Flower power FF63,PI040298AD5I212585,2018-08-28 20:43:03,-1.0,0.1,11.1,21.31
Flower power FF63,PI040298AD5I212585,2018-08-28 20:58:03,-1.0,0.1,10.84,21.12
Flower power FF63,PI040298AD5I212585,2018-08-28 21:13:03,-1.0,0.1,10.57,21.07
Flower power FF63,PI040298AD5I212585,2018-08-28 21:28:03,-1.0,0.1,10.71,21.03
Flower power FF63,PI040298AD5I212585,2018-08-28 21:43:03,-1.0,0.1,10.71,21.12
Flower power FF63,PI040298AD5I212585,2018-08-28 21:58:03,-1.0,0.1,10.84,21.12
Flower power FF63,PI040298AD5I212585,2018-08-28 22:13:03,-1.0,0.1,10.97,21.07
Flower power FF63,PI040298AD5I212585,2018-08-28 22:28:03,-1.0,0.1,11.1,20.98
Flower power FF63,PI040298AD5I212585,2018-08-28 22:43:03,-1.0,0.1,11.23,20.98
Flower power FF63,PI040298AD5I212585,2018-08-28 22:58:03,-1.0,0.1,10.97,21.07
Flower power FF63,PI040298AD5I212585,2018-08-28 23:13:03,-1.0,0.1,10.57,21.03
Flower power FF63,PI040298AD5I212585,2018-08-28 23:28:03,-1.0,0.1,10.97,20.88
Flower power FF63,PI040298AD5I212585,2018-08-28 23:43:03,-1.0,0.1,10.84,20.93
Flower power FF63,PI040298AD5I212585,2018-08-28 23:58:03,-1.0,0.1,10.71,20.83
Flower power FF63,PI040298AD5I212585,2018-08-29 00:13:03,-1.0,0.1,10.97,20.74
Flower power FF63,PI040298AD5I212585,2018-08-29 00:28:03,-1.0,0.1,11.1,20.64
Flower power FF63,PI040298AD5I212585,2018-08-29 00:43:03,-1.0,0.1,10.57,20.59
Flower power FF63,PI040298AD5I212585,2018-08-29 00:58:03,-1.0,0.1,10.97,20.4
Flower power FF63,PI040298AD5I212585,2018-08-29 01:13:03,-1.0,0.1,10.84,20.35
Flower power FF63,PI040298AD5I212585,2018-08-29 01:28:03,-1.0,0.1,10.44,20.35
Flower power FF63,PI040298AD5I212585,2018-08-29 01:43:03,-1.0,0.1,10.97,20.21
Flower power FF63,PI040298AD5I212585,2018-08-29 01:58:03,-1.0,0.1,10.57,20.3
Flower power FF63,PI040298AD5I212585,2018-08-29 02:13:03,-1.0,0.1,10.57,20.26
Flower power FF63,PI040298AD5I212585,2018-08-29 02:28:03,-1.0,0.1,11.1,20.06
Flower power FF63,PI040298AD5I212585,2018-08-29 02:43:03,-1.0,0.1,10.71,19.82
Flower power FF63,PI040298AD5I212585,2018-08-29 02:58:03,-1.0,0.1,10.57,19.38
Flower power FF63,PI040298AD5I212585,2018-08-29 03:13:03,-1.0,0.1,10.44,19.23
Flower power FF63,PI040298AD5I212585,2018-08-29 03:28:03,-1.0,0.1,11.1,18.88
Flower power FF63,PI040298AD5I212585,2018-08-29 03:43:03,-1.0,0.1,10.84,18.69
Flower power FF63,PI040298AD5I212585,2018-08-29 03:58:03,-1.0,0.1,10.71,18.13
Flower power FF63,PI040298AD5I212585,2018-08-29 04:13:03,-1.0,0.1,10.44,18.08
Flower power FF63,PI040298AD5I212585,2018-08-29 04:28:03,-1.0,0.1,10.57,18.34
Flower power FF63,PI040298AD5I212585,2018-08-29 04:43:03,-1.0,0.1,10.71,18.54
Flower power FF63,PI040298AD5I212585,2018-08-29 04:58:03,-1.0,0.1,10.44,18.74
Flower power FF63,PI040298AD5I212585,2018-08-29 05:13:03,-1.0,0.1,10.84,18.49
Flower power FF63,PI040298AD5I212585,2018-08-29 05:28:03,-1.0,0.1,10.71,18.03
Flower power FF63,PI040298AD5I212585,2018-08-29 05:43:03,-1.0,0.1,10.71,17.78
Flower power FF63,PI040298AD5I212585,2018-08-29 05:58:03,-1.0,0.18,10.57,17.63
Flower power FF63,PI040298AD5I212585,2018-08-29 06:13:03,-1.0,0.82,10.57,17.68
Flower power FF63,PI040298AD5I212585,2018-08-29 06:28:03,-1.0,1.64,10.57,17.98
Flower power FF63,PI040298AD5I212585,2018-08-29 06:43:03,-1.0,2.34,10.97,18.49
Flower power FF63,PI040298AD5I212585,2018-08-29 06:58:03,-1.0,2.92,11.1,18.69
Flower power FF63,PI040298AD5I212585,2018-08-29 07:13:03,-1.0,3.41,10.57,19.43
Flower power FF63,PI040298AD5I212585,2018-08-29 07:28:03,-1.0,3.83,11.1,20.59
Flower power FF63,PI040298AD5I212585,2018-08-29 07:43:03,-1.0,4.25,10.97,21.26
Flower power FF63,PI040298AD5I212585,2018-08-29 07:58:03,-1.0,4.66,10.84,21.88
Flower power FF63,PI040298AD5I212585,2018-08-29 08:13:03,-1.0,5.14,10.44,22.4
Flower power FF63,PI040298AD5I212585,2018-08-29 08:28:03,-1.0,5.65,10.71,23.0
Flower power FF63,PI040298AD5I212585,2018-08-29 08:43:03,-1.0,6.14,11.1,23.42
Flower power FF63,PI040298AD5I212585,2018-08-29 08:58:03,-1.0,6.99,10.84,24.16
Flower power FF63,PI040298AD5I212585,2018-08-29 09:13:03,-1.0,7.99,10.84,24.93
Flower power FF63,PI040298AD5I212585,2018-08-29 09:28:03,-1.0,8.88,10.84,25.83
Flower power FF63,PI040298AD5I212585,2018-08-29 09:43:03,-1.0,10.37,10.57,27.09
Flower power FF63,PI040298AD5I212585,2018-08-29 09:58:03,-1.0,60.31,10.71,30.98
Flower power FF63,PI040298AD5I212585,2018-08-29 10:13:03,-1.0,86.47,10.84,34.01
