NickName,serial_number,capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
Flower power FFFD,PI040298AD5I212453,2018-08-21 17:48:02,-1.0,19.98,5.88,34.5
Flower power FFFD,PI040298AD5I212453,2018-08-21 18:03:02,-1.0,12.28,6.0,32.58
Flower power FFFD,PI040298AD5I212453,2018-08-21 18:18:02,-1.0,10.13,6.37,31.38
Flower power FFFD,PI040298AD5I212453,2018-08-21 18:33:02,-1.0,7.52,6.24,29.57
Flower power FFFD,PI040298AD5I212453,2018-08-21 18:48:02,-1.0,4.87,6.24,28.55
Flower power FFFD,PI040298AD5I212453,2018-08-21 19:03:02,-1.0,2.19,6.61,27.04
Flower power FFFD,PI040298AD5I212453,2018-08-21 19:18:02,-1.0,0.6,6.37,25.38
Flower power FFFD,PI040298AD5I212453,2018-08-21 19:33:02,-1.0,0.1,6.12,24.66
Flower power FFFD,PI040298AD5I212453,2018-08-21 19:48:02,-1.0,0.1,6.61,23.93
Flower power FFFD,PI040298AD5I212453,2018-08-21 20:03:02,-1.0,0.1,6.37,23.65
Flower power FFFD,PI040298AD5I212453,2018-08-21 20:18:02,-1.0,0.1,6.24,22.82
Flower power FFFD,PI040298AD5I212453,2018-08-21 20:33:02,-1.0,0.1,6.49,22.4
Flower power FFFD,PI040298AD5I212453,2018-08-21 20:48:02,-1.0,0.1,6.49,21.74
Flower power FFFD,PI040298AD5I212453,2018-08-21 21:03:02,-1.0,0.1,6.98,21.79
Flower power FFFD,PI040298AD5I212453,2018-08-21 21:18:02,-1.0,0.1,6.37,22.21
Flower power FFFD,PI040298AD5I212453,2018-08-21 21:33:02,-1.0,0.1,6.61,22.12
Flower power FFFD,PI040298AD5I212453,2018-08-21 21:48:02,-1.0,0.1,6.61,22.07
Flower power FFFD,PI040298AD5I212453,2018-08-21 22:03:02,-1.0,0.1,6.74,22.26
Flower power FFFD,PI040298AD5I212453,2018-08-21 22:18:02,-1.0,0.1,6.49,22.12
Flower power FFFD,PI040298AD5I212453,2018-08-21 22:33:02,-1.0,0.1,6.98,22.4
Flower power FFFD,PI040298AD5I212453,2018-08-21 22:48:02,-1.0,0.1,6.37,21.93
Flower power FFFD,PI040298AD5I212453,2018-08-21 23:03:02,-1.0,0.1,6.86,21.22
Flower power FFFD,PI040298AD5I212453,2018-08-21 23:18:02,-1.0,0.1,6.61,21.03
Flower power FFFD,PI040298AD5I212453,2018-08-21 23:33:02,-1.0,0.1,6.98,21.03
Flower power FFFD,PI040298AD5I212453,2018-08-21 23:48:02,-1.0,0.1,7.11,20.11
Flower power FFFD,PI040298AD5I212453,2018-08-22 00:03:02,-1.0,0.1,6.74,19.87
Flower power FFFD,PI040298AD5I212453,2018-08-22 00:18:02,-1.0,0.1,6.86,19.87
Flower power FFFD,PI040298AD5I212453,2018-08-22 00:33:02,-1.0,0.1,6.98,20.83
Flower power FFFD,PI040298AD5I212453,2018-08-22 00:48:02,-1.0,0.1,6.49,20.06
Flower power FFFD,PI040298AD5I212453,2018-08-22 01:03:02,-1.0,0.1,6.61,18.78
Flower power FFFD,PI040298AD5I212453,2018-08-22 01:18:02,-1.0,0.1,6.61,17.22
Flower power FFFD,PI040298AD5I212453,2018-08-22 01:33:02,-1.0,0.1,6.86,16.81
Flower power FFFD,PI040298AD5I212453,2018-08-22 01:48:02,-1.0,0.1,6.98,16.24
Flower power FFFD,PI040298AD5I212453,2018-08-22 02:03:02,-1.0,0.1,6.61,16.08
Flower power FFFD,PI040298AD5I212453,2018-08-22 02:18:02,-1.0,0.1,7.11,15.61
Flower power FFFD,PI040298AD5I212453,2018-08-22 02:33:02,-1.0,0.1,6.98,15.4
Flower power FFFD,PI040298AD5I212453,2018-08-22 02:48:02,-1.0,0.1,6.98,15.4
Flower power FFFD,PI040298AD5I212453,2018-08-22 03:03:02,-1.0,0.1,7.23,15.35
Flower power FFFD,PI040298AD5I212453,2018-08-22 03:18:02,-1.0,0.1,7.23,14.92
Flower power FFFD,PI040298AD5I212453,2018-08-22 03:33:02,-1.0,0.1,7.23,15.03
Flower power FFFD,PI040298AD5I212453,2018-08-22 03:48:02,-1.0,0.1,6.61,14.65
Flower power FFFD,PI040298AD5I212453,2018-08-22 04:03:02,-1.0,0.1,6.86,14.49
Flower power FFFD,PI040298AD5I212453,2018-08-22 04:18:02,-1.0,0.1,6.86,14.22
Flower power FFFD,PI040298AD5I212453,2018-08-22 04:33:02,-1.0,0.1,7.11,14.54
Flower power FFFD,PI040298AD5I212453,2018-08-22 04:48:02,-1.0,0.1,6.98,14.38
Flower power FFFD,PI040298AD5I212453,2018-08-22 05:03:02,-1.0,0.1,6.61,14.92
Flower power FFFD,PI040298AD5I212453,2018-08-22 05:18:02,-1.0,0.1,6.74,15.72
Flower power FFFD,PI040298AD5I212453,2018-08-22 05:33:02,-1.0,0.1,6.74,15.56
Flower power FFFD,PI040298AD5I212453,2018-08-22 05:48:02,-1.0,0.15,7.11,15.56
Flower power FFFD,PI040298AD5I212453,2018-08-22 06:03:02,-1.0,1.04,7.23,15.45
Flower power FFFD,PI040298AD5I212453,2018-08-22 06:18:02,-1.0,2.91,6.98,16.97
Flower power FFFD,PI040298AD5I212453,2018-08-22 06:33:02,-1.0,5.5,7.11,17.73
Flower power FFFD,PI040298AD5I212453,2018-08-22 06:48:02,-1.0,8.08,6.86,19.43
Flower power FFFD,PI040298AD5I212453,2018-08-22 07:03:02,-1.0,10.42,6.86,20.83
Flower power FFFD,PI040298AD5I212453,2018-08-22 07:18:02,-1.0,15.39,6.86,22.82
Flower power FFFD,PI040298AD5I212453,2018-08-22 07:33:02,-1.0,29.94,6.98,25.97
Flower power FFFD,PI040298AD5I212453,2018-08-22 07:48:02,-1.0,32.09,6.86,30.59
