LAT;;;;;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386;37.1386
LON;;;;;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775;-8.53775
ASL;;;;;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000;13.0000
CITY;;;;;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão;Portimão
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;sfc;10 m above gnd;10 m above gnd;80 m above gnd;80 m above gnd;900 mb;900 mb;sfc
NAME;;;;;Temperature;Relative Humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount raw;Total Cloud Cover;High Cloud Cover;Medium Cloud Cover;Low Cloud Cover;Sunshine Duration;Shortwave Radiation;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Speed;Wind Direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;min;W/m2;km/h;°;km/h;°;km/h;°;km/h
AGGREGATION;;;;;;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Snowfall amount raw  [sfc];Total Cloud Cover  [sfc];High Cloud Cover  [high cld lay];Medium Cloud Cover  [mid cld lay];Low Cloud Cover  [low cld lay];Sunshine Duration  [sfc];Shortwave Radiation  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd];Wind Speed  [80 m above gnd];Wind Direction  [80 m above gnd];Wind Speed  [900 mb];Wind Direction  [900 mb];Wind Gust  [sfc]
2018;10;05;00;00;20.18;39.00;1017.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.95;43.67;12.39;35.54;11.61;97.13;9.72
2018;10;05;01;00;18.93;34.00;1016.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.75;49.97;12.10;36.53;13.14;99.46;8.28
